T[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],lon[deg],lat[deg],alt[m],azimuth[deg],back_azimuth[deg],distance_2d[m],elevation[deg],distance_3d[m],East[m],North[m]
8.6,-3783480,2804078,4287312,0,0,0,143.45647774409974,42.50608814458957,146.04951498750597,-170.1130411134576,9.886949484001036,6.661210265822651,87.38859166060793,146.20134250509204,-1.1437622742540374,-6.562280858474003
8.9,-3783481,2804081,4287319,0,0,0,143.4564556645794,42.50611884749819,152.68834048695862,-136.81110079767805,43.18887488132768,4.3227267302058765,88.37834468327729,152.74951812377492,-2.958499499767676,-3.15170542625906
9.0,-3783489,2804086,4287323,0,0,0,143.45646474618414,42.50608819156873,162.32399276085198,-161.3577882584821,18.642193556688852,6.920139846334437,87.5588644813716,162.47143429328725,-2.2120744352130024,-6.557062008697392
9.4,-3783487,2804086,4287321,0,0,0,143.45645025753652,42.50608469210895,159.78810704685748,-153.8986496308635,26.1013223947794,7.734587252759196,87.22874510473935,159.97519493217857,-3.4029115972301986,-6.945792440894075
9.5,-3783496,2804091,4287327,0,0,0,143.45646658344603,42.506062422345565,171.3673722613603,-167.65781297674948,12.34217007980638,9.642439437406493,86.7794969854109,171.6384365871109,-2.061068821669003,-9.419587762550758
9.8,-3783496,2804091,4287333,0,0,0,143.45646658344603,42.50610224039515,175.42138308659196,-157.58363937932342,22.416343677226024,5.404882747928545,88.23522635878957,175.5046278635743,-2.061067513709565,-4.996474579419642
9.9,-3783502,2804096,4287331,0,0,0,143.45646117640578,42.50604153980107,179.81847821734846,-167.95229404866245,12.047685354529335,12.003677004387818,86.18091993175987,180.21868207827038,-2.505480083050157,-11.73928580362144
10.0,-3783502,2804096,4287331,0,0,0,143.45646117640578,42.50604153980107,179.81847821734846,-167.95229404866245,12.047685354529335,12.003677004387818,86.18091993175987,180.21868207827038,-2.505480083050157,-11.73928580362144
10.3,-3783502,2804098,4287337,0,0,0,143.4564416272861,42.50607411451406,184.75040147826076,-153.14304016677326,26.856926027681197,9.102618761710284,87.17932827057291,184.9745077428227,-4.11224156101106,-8.120784301096378
10.4,-3783502,2804098,4287337,0,0,0,143.4564416272861,42.50607411451406,184.75040147826076,-153.14304016677326,26.856926027681197,9.102618761710284,87.17932827057291,184.9745077428227,-4.11224156101106,-8.120784301096378
10.4,-3783514,2804104,4287344,0,0,0,143.45646991144105,42.506040199762985,199.22111641988158,-171.44888845419672,8.551096850984521,12.021780381589494,86.54673634394264,199.58350741262961,-1.7875379809829113,-11.888141633986095
10.8,-3783509,2804103,4287346,0,0,0,143.45644346458334,42.50608152700417,197.17212287243456,-151.50559958671502,28.49436784914164,8.30320049989905,87.58861741433702,197.34687526425128,-3.961231693569615,-7.29738186004977
11.2,-3783521,2804113,4287359,0,0,0,143.45643265063768,42.50607294358788,217.4526750575751,-149.5520075964955,30.447952532717807,9.570762618590214,87.47986256151013,217.6631925402105,-4.850041859340982,-8.250853959684662
11.3,-3783528,2804116,4287357,0,0,0,143.45645403692365,42.506014600090865,221.56413355004042,-168.14544175668215,11.854532822592091,15.052877058803391,86.11334648621443,222.07488463022466,-3.0922832872677577,-14.73183260218273
11.7,-3783529,2804118,4287365,0,0,0,143.45644173218966,42.50605556061842,228.43966591916978,-158.04886291738777,21.95110334795271,10.977656178814946,87.24877079874265,228.7032791641654,-4.103620640204747,-10.181808916963604
12.2,-3783537,2804123,4287374,0,0,0,143.45645081370537,42.50605808653429,241.45366154704243,-161.26977846908642,18.730193932349493,10.454903588681677,87.52065094499277,241.6799033505317,-3.357200923235037,-9.901222702760444
12.2,-3783537,2804123,4287374,0,0,0,143.45645081370537,42.50605808653429,241.45366154704243,-161.26977846908642,18.730193932349493,10.454903588681677,87.52065094499277,241.6799033505317,-3.357200923235037,-9.901222702760444
12.3,-3783547,2804129,4287379,0,0,0,143.45646460916063,42.50602067268738,253.38849231693894,-171.0123817430428,8.987599979557388,14.232008823363437,86.78525979153876,253.78786045396205,-2.22333893193766,-14.057269974715041
12.6,-3783550,2804133,4287388,0,0,0,143.45644724402143,42.50605125296319,263.00215666648,-161.09636697071235,18.903603018801675,11.268061923491917,87.54672051413297,263.2434303657574,-3.6505974865121176,-10.660316951344354
12.7,-3783557,2804137,4287389,0,0,0,143.45645885570372,42.50600919705424,269.5795776527375,-170.02619172021357,9.973786114959466,15.567286862110834,86.69503757311239,270.0286820092924,-2.696222524070554,-15.332018926023512
13.1,-3783560,2804139,4287397,0,0,0,143.4564610394375,42.5060403842171,277.6396589195356,-168.02683804811667,11.973141262530163,12.131575528918283,87.49802960056046,277.9045795408379,-2.516737702735976,-11.867651669537498
13.2,-3783570,2804146,4287402,0,0,0,143.45646506039668,42.505999349033004,290.01344849169254,-172.41864424810794,7.581337779381869,16.57082144682564,86.72978296127728,290.4864754673893,-2.18625207624813,-16.425968016579034
13.6,-3783569,2804145,4287411,0,0,0,143.45646759061884,42.50606758313811,295.0632269885391,-167.3944280570757,12.60555567999458,9.06481325091825,88.2403356706812,295.20243691433876,-1.9782880472332234,-8.846310851207821
13.7,-3783582,2804154,4287414,0,0,0,143.45647379526352,42.50599137293691,308.7404194958508,-175.15203436854986,4.847953560813949,17.374134516850255,86.77912025619307,309.2288912451156,-1.4683234831072085,-17.311977829195698
14.0,-3783585,2804160,4287424,0,0,0,143.45643688158512,42.50602134605186,319.9076645663008,-162.15164803525104,17.848314952699752,14.689457199432411,87.37095036678383,320.2447407859789,-4.502299519855976,-13.98246944739953
14.1,-3783593,2804167,4287423,0,0,0,143.45642641433372,42.50595026699462,327.0429031662643,-166.2275885862391,13.772367329349521,22.525790621916087,86.05985159234831,327.81774167143686,-5.362620758325016,-21.87815215562741
14.5,-3783596,2804167,4287437,0,0,0,143.45644814669802,42.506028514145356,338.2790703093633,-164.8251261650066,15.174844434424074,13.662612225929207,87.68716171723297,338.5548646559421,-3.5764068136657956,-13.186215800572777
14.6,-3783608,2804172,4287445,0,0,0,143.45648620442796,42.50600485802226,352.98649858497083,-178.37583728856347,1.6241590252789422,15.820368452270207,87.43379944615349,353.3408442867074,-0.44839971962495895,-15.8140126361726
14.92,-3783608,2804175,4287454,0,0,0,143.4564568815547,42.506053718791506,360.3843801515177,-164.61238155285776,15.38759494843515,10.772572315253017,88.28783036711074,360.5453505059814,-2.8584780557351257,-10.38640541728641
15.0,-3783608,2804175,4287454,0,0,0,143.4564568815547,42.506053718791506,360.3843801515177,-164.61238155285776,15.38759494843515,10.772572315253017,88.28783036711074,360.5453505059814,-2.8584780557351257,-10.38640541728641
15.1,-3783617,2804178,4287457,0,0,0,143.4564927554706,42.50601878443129,369.0587294762954,179.63841604684137,-0.3615832129836747,14.267307810747935,87.78612563492806,369.33440386027405,0.09003796370272776,-14.267023702641042
15.4,-3783628,2804189,4287477,0,0,0,143.4564649233713,42.5060579192035,393.915639241226,-167.50912157191976,12.490860362976235,10.160300507580448,88.52249254748853,394.0466502144487,-2.197512298820627,-9.91981078957011
15.5,-3783627,2804186,4287462,0,0,0,143.45648700204154,42.5059741283514,381.8714782251045,-178.85932498529127,1.1406718674743672,19.231371353154174,87.11697165481927,382.3554256525588,-0.38284313281637333,-19.227560304380123
15.9,-3783640,2804196,4287483,0,0,0,143.45648343231485,42.5060137479804,408.14964534621686,-177.38852371424102,2.6114707265717243,14.841902199589926,87.91742113347318,408.4194107252308,-0.6762427772204779,-14.826488343786922
16.0,-3783638,2804192,4287478,0,0,0,143.4565080411199,42.506004826363096,401.8309287894517,175.134729235761,-4.865259696034116,15.874727747514356,87.73765011460296,402.1443799344349,1.3463830182734517,-15.817529321161606
16.4,-3783651,2804203,4287494,0,0,0,143.45649469714226,42.50600764382051,425.16971634794027,179.07760723842432,-0.9223907094746266,15.506566872202905,87.91126417932288,425.4523960627676,0.249626191361429,-15.504557488902641
16.5,-3783656,2804204,4287498,0,0,0,143.45652114297476,42.50600613458205,431.27272065076977,171.21052040421162,-8.789459675074056,15.85844231219145,87.89411066611879,431.5641896289427,2.4232394368415107,-15.672207987416455
16.8,-3783672,2804216,4287516,0,0,0,143.4565197567809,42.50600394346822,458.1786264665425,171.744168561121,-8.255812454772467,16.08226790629834,87.98971867579174,458.46078686380304,2.3093066566723315,-15.915603782935868
16.9,-3783670,2804213,4287514,0,0,0,143.45653459127203,42.50601130859589,454.32587001565844,166.8450003748675,-13.154970617827274,15.504327246615206,88.04548239762951,454.5903434179559,3.5285700891383,-15.09746192232897
17.3,-3783686,2804224,4287531,0,0,0,143.45654297913237,42.506006102906824,480.1171516608447,164.93972370828752,-15.060241616996564,16.23329039392984,88.06350420927639,480.39150599894685,4.2179782227699345,-15.675725716083877
17.4,-3783692,2804224,4287526,0,0,0,143.45658644271668,42.50594360448701,480.29247349034995,160.9949670627764,-19.004968895575416,23.922244141125383,87.14858767687502,480.88785995929044,7.790307721910933,-22.618241981762033
17.8,-3783701,2804233,4287547,-35,23,37,143.45656367115888,42.50600639051793,503.76257719192654,159.27632168018738,-20.72362966414815,16.725982388188957,88.09835758397101,504.04016969473946,5.918679536336117,-15.643775739768301
17.9,-3783705,2804238,4287548,-36,23,37,143.45654377644556,42.50597537384368,509.00213127397,167.35264282270873,-12.647321963866318,19.563901906023982,87.7988746151484,509.37796958568237,4.2835124042873804,-19.089205831328997
18.2,-3783721,2804247,4287566,-37,24,39,143.45657171223556,42.50598404718627,534.5911672990769,160.04926258669636,-19.95068332454926,19.282984574819817,87.93420671012261,534.9388279497969,6.579587171520543,-18.1257421024658
18.3,-3783721,2804247,4287561,-37,24,38,143.45657171223556,42.505950867290764,531.212832336314,163.21367486619292,-16.78627104506981,22.782255474283748,87.54424670083823,531.7011419992103,6.5795906510749536,-21.811468344882673
18.8,-3783738,2804259,4287576,-38,25,40,143.45657756968703,42.505923882261484,556.6840151855722,164.11285774107074,-15.887084212514111,25.794320792691156,87.34705981778222,557.2812931978667,7.061024752296357,-24.809049046743358
19.1,-3783753,2804265,4287602,-39,25,41,143.45662758316737,42.50600139364176,585.769242266193,145.40754546336586,-34.59236269764955,19.677622240358005,88.07599851112178,586.0996621754223,11.171681527124326,-16.198837887044277
19.3,-3783763,2804273,4287611,-40,26,42,143.4566218295687,42.50598328275966,601.284659801051,149.56569002140776,-30.434222027147456,21.120888800056562,87.9882399713657,601.6554944947898,10.698789719328042,-18.210651889648414
19.6,-3783777,2804283,4287623,-41,26,43,143.45662550325346,42.50595829179252,622.0740980030969,152.33754933988982,-27.66236022649474,23.69512430643358,87.81862867563662,622.5252142060303,11.000738567064602,-20.986725968488678
19.7,-3783777,2804283,4287623,-41,26,43,143.45662550325346,42.50595829179252,622.0740980030969,152.33754933988982,-27.66236022649474,23.69512430643358,87.81862867563662,622.5252142060303,11.000738567064602,-20.986725968488678
19.7,-3783779,2804283,4287626,-41,26,43,143.45663999076365,42.50596842690984,625.2856525070965,148.45656997338443,-31.54332980424212,23.304225848499676,87.86558980271734,625.7197728804991,12.191482547914037,-19.86088355742986
20.1,-3783793,2804292,4287642,-42,27,44,143.45665343822535,42.505973600888616,648.3388031888753,145.41584916390588,-34.58404152769364,23.42559713708357,87.93070502179613,648.7618687327517,13.296744383406212,-19.286139842677002
20.2,-3783796,2804295,4287643,-43,27,44,143.4566458478289,42.50595471392091,652.1081683468074,149.34777112884547,-30.652124691362218,24.85728228888547,87.81703675031657,652.58175557352,12.672884502701915,-21.384164261680112
20.5,-3783813,2804305,4287663,-44,28,45,143.45667125246158,42.50596815121115,680.0797736328095,143.4219418513752,-36.577936803717876,24.770075900909326,87.91407745205795,680.5307158127326,14.760918887817143,-19.891504058871266
20.7,-3783822,2804312,4287668,-44,28,46,143.45666802895127,42.50593200496946,691.8612923882902,148.769243914607,-31.230636918550346,27.958287326306387,87.68592233688754,692.4259626381837,14.495983077132193,-23.906741828358825
20.7,-3783822,2804312,4287668,-44,28,46,143.45666802895127,42.50593200496946,691.8612923882902,148.769243914607,-31.230636918550346,27.958287326306387,87.68592233688754,692.4259626381837,14.495983077132193,-23.906741828358825
21.1,-3783841,2804324,4287687,-46,29,47,143.4566883730936,42.50592179146657,721.2196973785758,147.1513846539453,-32.84848243334059,29.8072697178731,87.63337110405102,721.8353865078093,16.168096027211327,-25.04128588728838
21.5,-3783857,2804333,4287710,-47,30,48,143.45671630737263,42.50596364348284,750.1870704302564,137.8408966509956,-42.158951561935424,27.50933697198596,87.89990649957056,750.6912842582954,18.46403715845054,-20.392227746120124
21.6,-3783861,2804336,4287706,-47,30,48,143.4567159606334,42.50590669188316,751.1703809769824,145.39471881925425,-34.605129628039606,32.46155707875492,87.52552315366356,751.8714610524077,18.435554979190158,-26.71858904557875
21.91,-3783876,2804346,4287727,-48,30,50,143.4567268774452,42.50593653719219,778.6330974856392,140.4408109711359,-39.55903009997505,30.355740743083103,87.76740101337366,779.2245963110649,19.332812459861234,-23.403276660611215
22.4,-3783897,2804359,4287748,-49,31,51,143.45675193445564,42.50592620167037,810.9663477623835,138.93347181754396,-41.06635232336541,32.563778251762926,87.7005639434367,811.6198721427963,21.392282633045273,-24.55137262512827
22.5,-3783913,2804367,4287762,-50,32,52,143.45678964168087,42.50591195331232,833.4137687440962,136.85839391048532,-43.14140475289028,35.81654820311397,87.53918743376553,834.1830345058713,24.4914921401423,-26.134114447123217
22.9,-3783928,2804377,4287781,-51,32,53,143.4568005580713,42.505928526923284,859.5251532532275,133.73663532379112,-46.263155963698125,35.13886559111125,87.6589536830304,860.2431220009925,25.388717402940042,-24.29306287119497
22.9,-3783928,2804377,4287781,-51,32,53,143.4568005580713,42.505928526923284,859.5251532532275,133.73663532379112,-46.263155963698125,35.13886559111125,87.6589536830304,860.2431220009925,25.388717402940042,-24.29306287119497
23.0,-3783932,2804380,4287781,-51,32,53,143.4568002112488,42.50589811888727,863.2111313687637,137.49489971838352,-42.504891803502915,37.53423356744695,87.5102274719663,864.0267796824568,25.36022391982955,-27.67088238982932
23.3,-3783946,2804392,4287803,-53,33,54,143.4567843371273,42.50593224296677,891.6351454053074,134.79056906260115,-45.20923318485228,33.8959374967293,87.82292182491713,892.2791979536034,24.05549637645994,-23.88027790592694
23.4,-3783946,2804392,4287803,-53,33,54,143.4567843371273,42.50593224296677,891.6351454053074,134.79056906260115,-45.20923318485228,33.8959374967293,87.82292182491713,892.2791979536034,24.05549637645994,-23.88027790592694
23.41,-3783962,2804401,4287811,-53,33,55,143.45681227029473,42.505874560019045,910.4675255706534,138.97572494573643,-41.02405842829074,40.14661246058267,87.4752066068872,911.3522181960213,26.351382306715742,-30.287871212508822
23.8,-3783969,2804406,4287826,-54,34,56,143.45681410670062,42.50592178551259,926.9432417117059,133.37709384536504,-46.622688287764305,36.461889554789046,87.74739617119772,927.6600900895282,26.50229897671485,-25.04191563867376
23.9,-3783983,2804414,4287832,-54,34,56,143.45683732631716,42.50586422500731,942.8007793547586,137.8937278199115,-42.10603862459732,42.37202431255139,87.42670388039822,943.7524558888754,28.410774463519072,-31.43590842852324
24.3,-3784003,2804427,4287858,-56,35,58,143.45685513877172,42.50589195373272,977.9200834585354,133.50564182506764,-46.49411258407997,41.18918973347652,87.588174422443,978.7871264899478,29.874790598300645,-28.355709083146106
24.4,-3784003,2804426,4287855,-56,35,58,143.45686491214073,42.50587566830608,975.4541315473616,134.51659572414079,-45.48315208149651,43.023906082709644,87.47451827454977,976.4024883455753,30.678084406653973,-30.16474153298904
24.7,-3784027,2804444,4287883,-57,36,59,143.45686283084618,42.50587901824175,1016.488656161353,134.32122241208063,-45.67852679981189,42.64127624309272,87.59787428617472,1017.3826549260377,30.507018440425902,-29.79262099103161
24.8,-3784037,2804447,4287894,-58,36,60,143.4569059434406,42.50589228541335,1031.1606382550672,129.7493541019891,-50.25036598008572,44.28761708004465,87.54069839499441,1032.1112609177492,34.05049189583061,-28.318845814768586
25.2,-3784051,2804457,4287909,-58,37,61,143.45690961583517,42.50588720276145,1053.9770794669166,130.0571220060815,-49.9425955946887,44.88135461561681,87.5616551537577,1054.932234806456,34.35233353982814,-28.883441147154663
25.3,-3784062,2804463,4287919,-59,37,61,143.45693065155763,42.50587808517948,1069.8825376676396,129.64447063749753,-50.355232750141624,46.85770928620646,87.49221597186956,1070.9081610136786,36.08129216308753,-29.8962418272357
25.6,-3784086,2804479,4287949,-60,38,63,143.45694811622394,42.50590194795401,1111.3904875908047,125.98799237924013,-54.01169920802022,46.36615951163566,87.6110596182124,1112.357243269978,37.5167217370927,-27.245482890930703
25.8,-3784086,2804479,4287942,-60,38,63,143.45694811622394,42.50585550023775,1106.6608266346157,130.8187671093904,-49.180924478006375,49.57411731716224,87.4350858160494,1107.770634344216,37.51674950896015,-32.40503994840468
25.8,-3784086,2804479,4287942,-60,38,63,143.45694811622394,42.50585550023775,1106.6608266346157,130.8187671093904,-49.180924478006375,49.57411731716224,87.4350858160494,1107.770634344216,37.51674950896015,-32.40503994840468
26.1,-3784113,2804496,4287975,-62,39,64,143.4569775368316,42.5058809903779,1152.4115671580657,126.52156390568189,-53.478107803088875,49.69290174697774,87.53089009532533,1153.482468268913,39.934852504435135,-29.573502320215546
