T[s],P0[MPa],P1[MPa],P2[MPa],P3[MPa],P4[MPa],P5[MPa]
61.70,11.10,2.154,3.088,3.028,1.051,15.44
62.11,11.02,2.147,3.088,3.021,1.026,15.36
62.61,10.92,2.147,3.088,3.021,1.013,15.29
63.10,10.85,2.147,3.088,3.028,1.063,15.16
63.50,10.77,2.147,3.088,3.021,1.038,15.11
64.00,10.70,2.147,3.081,3.021,1.032,15.06
64.90,10.52,2.147,3.081,3.021,1.026,14.86
65.40,10.44,2.147,3.081,3.021,1.013,14.79
65.50,10.44,2.147,3.081,3.021,1.013,14.79
65.90,10.37,2.147,3.081,3.015,1.007,14.61
66.30,10.27,2.141,3.075,3.015,1.019,14.61
