T[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s]
44.21,-3785895,2805633,4289842,-137,88,144
44.30,-3785894,2805632,4289838,-137,88,144
44.70,-3785951,2805669,4289898,-139,89,146
44.80,-3785976,2805687,4289935,-140,90,147
45.20,-3786008,2805704,4289959,-141,90,148
45.30,-3786036,2805724,4289991,-142,91,149
45.60,-3786093,2805760,4290051,-145,92,151
45.70,-3786094,2805759,4290050,-145,92,151
46.10,-3786149,2805798,4290107,-147,93,153
46.20,-3786152,2805798,4290110,-147,93,153
46.60,-3786210,2805836,4290171,-149,94,156
46.70,-3786244,2805857,4290199,-150,94,157
47.00,-3786302,2805893,4290268,-152,95,159
47.10,-3786304,2805893,4290262,-152,95,160
47.20,-3786304,2805893,4290262,-152,95,160
47.60,-3786363,2805931,4290328,-155,97,161
47.90,-3786425,2805972,4290394,-157,98,163
48.40,-3786521,2806030,4290494,-161,100,166
48.50,-3786522,2806028,4290497,-161,100,166
48.90,-3786588,2806071,4290562,-163,101,168
49.00,-3786588,2806070,4290563,-163,101,168
49.30,-3786655,2806110,4290634,-165,102,171
49.50,-3786688,2806133,4290665,-167,102,172
49.80,-3786754,2806172,4290737,-169,104,174
49.90,-3786758,2806175,4290733,-169,104,174
50.30,-3786823,2806216,4290810,-171,105,176
50.40,-3786827,2806215,4290807,-171,105,176
50.70,-3786892,2806260,4290879,-174,107,178
50.90,-3786930,2806278,4290915,-175,107,179
51.20,-3787000,2806325,4290983,-178,108,181
51.30,-3787000,2806323,4290984,-178,108,181
51.70,-3787073,2806368,4291059,-181,109,183
51.80,-3787071,2806365,4291052,-181,109,184
52.10,-3787145,2806411,4291131,-183,110,186
52.30,-3787181,2806432,4291171,-184,110,187
52.60,-3787218,2806456,4291207,-185,111,189
52.70,-3787257,2806481,4291242,-187,112,190
53.10,-3787332,2806523,4291324,-189,114,192
53.20,-3787332,2806525,4291329,-189,114,192
53.50,-3787409,2806569,4291402,-191,116,194
53.70,-3787450,2806593,4291438,-193,116,194
54.00,-3787486,2806615,4291482,-195,117,195
54.10,-3787486,2806615,4291482,-195,117,195
54.10,-3787528,2806640,4291518,-196,117,196
54.50,-3787605,2806687,4291598,-199,118,198
54.60,-3787606,2806689,4291597,-199,118,199
55.10,-3787725,2806760,4291715,-202,120,202
55.40,-3787767,2806783,4291762,-203,121,204
55.50,-3787809,2806807,4291799,-205,122,205
56.00,-3787893,2806858,4291881,-207,123,206
56.30,-3787974,2806906,4291972,-210,124,208
56.50,-3788017,2806933,4292008,-212,125,210
56.80,-3788060,2806956,4292055,-213,125,210
57.30,-3788189,2807033,4292179,-216,127,214
57.40,-3788190,2807035,4292176,-217,127,214
57.70,-3788277,2807084,4292264,-219,128,216
57.80,-3788277,2807084,4292264,-219,128,216
57.80,-3788324,2807110,4292309,-220,128,216
58.20,-3788366,2807137,4292351,-222,129,217
58.30,-3788410,2807160,4292398,-223,129,219
58.80,-3788499,2807214,4292481,-226,130,221
59.10,-3788592,2807267,4292577,-228,131,223
59.20,-3788639,2807292,4292615,-230,131,223
59.60,-3788683,2807320,4292664,-231,132,225
59.70,-3788731,2807346,4292705,-232,132,226
60.10,-3788825,2807400,4292800,-235,132,227
60.20,-3788824,2807399,4292797,-235,133,228
60.50,-3788922,2807452,4292894,-238,133,230
60.60,-3788969,2807481,4292935,-239,133,231
61.00,-3789017,2807507,4292985,-240,134,232
61.10,-3789067,2807533,4293028,-242,134,232
61.50,-3789164,2807590,4293122,-246,135,234
61.50,-3789164,2807590,4293122,-246,135,234
61.60,-3789165,2807588,4293123,-245,135,234
61.90,-3789264,2807642,4293217,-248,135,236
62.00,-3789313,2807671,4293263,-250,136,237
62.40,-3789363,2807696,4293314,-251,137,238
62.50,-3789413,2807725,4293358,-253,137,239
62.80,-3789515,2807778,4293459,-256,138,240
63.00,-3789515,2807779,4293455,-256,138,240
63.30,-3789619,2807834,4293556,-259,139,242
63.40,-3789671,2807862,4293595,-260,139,243
63.80,-3789725,2807890,4293655,-262,139,245
63.90,-3789777,2807920,4293698,-264,140,245
64.20,-3789883,2807975,4293803,-267,141,247
64.40,-3789886,2807974,4293800,-267,140,247
64.70,-3789991,2808033,4293906,-270,141,250
64.80,-3790046,2808059,4293950,-270,141,252
65.20,-3790101,2808089,4294006,-271,142,253
65.30,-3790155,2808118,4294062,-273,142,254
65.60,-3790264,2808173,4294155,-275,145,255
65.70,-3790265,2808175,4294158,-275,144,255
66.10,-3790376,2808232,4294258,-279,145,257
66.20,-3790376,2808232,4294258,-279,145,257
66.20,-3790376,2808232,4294258,-279,145,257
