T[s],ecef_x[m],ecef_y[m],ecef_z[m],fix,satellites,hdop,unixtime[s]
55.31,-3787767,2806783,4291762,1,11,1.1,1501399917
55.80,-3787889,2806857,4291886,1,11,1.1,1501399917
55.90,-3787889,2806857,4291886,1,11,1.1,1501399917
56.30,-3787974,2806906,4291972,1,11,1.1,1501399918
56.71,-3788060,2806956,4292055,1,11,1.1,1501399918
57.20,-3788146,2807007,4292137,1,11,1.1,1501399918
57.70,-3788277,2807084,4292264,1,11,1.1,1501399919
58.11,-3788366,2807137,4292351,1,11,1.1,1501399919
58.60,-3788456,2807190,4292441,1,11,1.1,1501399920
58.70,-3788456,2807190,4292441,1,11,1.1,1501399920
59.10,-3788592,2807267,4292577,1,11,1.1,1501399920
59.51,-3788683,2807320,4292664,1,11,1.1,1501399921
60.00,-3788778,2807374,4292757,1,11,1.1,1501399921
60.50,-3788922,2807452,4292894,1,11,1.1,1501399922
60.90,-3789017,2807507,4292985,1,11,1.1,1501399922
61.40,-3789113,2807561,4293075,1,11,1.1,1501399923
61.81,-3789264,2807642,4293217,1,11,1.1,1501399923
62.31,-3789363,2807696,4293314,1,11,1.1,1501399924
62.80,-3789463,2807751,4293406,1,11,1.1,1501399924
63.21,-3789619,2807834,4293556,1,11,1.1,1501399925
63.71,-3789725,2807890,4293655,1,11,1.1,1501399925
64.20,-3789830,2807946,4293753,1,11,1.1,1501399925
64.62,-3789991,2808033,4293906,1,11,1.1,1501399926
65.11,-3790101,2808089,4294006,1,11,1.1,1501399926
65.60,-3790209,2808146,4294107,1,11,1.1,1501399927
66.01,-3790376,2808232,4294258,1,11,1.1,1501399927
66.50,-3790491,2808291,4294364,1,11,1.1,1501399928
