# T[s],control,sequence_elapse[s]
11.001,16431,11.0
11.102,16431,11.1
11.201,16431,11.2
11.302,16431,11.3
11.402,16431,11.4
11.502,16431,11.5
11.602,16431,11.6
11.702,16431,11.7
11.802,16431,11.8
11.901,16431,11.9
12.002,16431,12.0
12.101,16431,12.1
12.202,16431,12.2
12.301,16431,12.3
12.401,16431,12.4
12.501,16431,12.5
12.602,16431,12.6
12.702,16431,12.7
12.801,16431,12.8
12.901,16431,12.9
13.001,16431,13.0
13.101,16431,13.1
13.202,16431,13.2
13.302,16431,13.3
13.402,16431,13.4
13.502,16431,13.5
13.602,16431,13.6
13.702,16431,13.7
13.802,16431,13.8
13.901,16431,13.9
14.002,16431,14.0
14.101,16431,14.1
14.201,16431,14.2
14.301,16431,14.3
14.402,16431,14.4
14.502,16431,14.5
14.602,16431,14.6
14.701,16431,14.7
14.801,16431,14.8
14.903,16431,14.9
15.002,16431,15.0
15.102,16431,15.1
15.202,16431,15.2
15.301,16431,15.3
15.401,16431,15.4
15.502,16431,15.5
15.603,16431,15.6
15.701,16431,15.7
15.802,16431,15.8
15.903,16431,15.9
16.002,16431,16.0
16.101,16431,16.1
16.204,16431,16.2
16.301,16431,16.3
16.402,16431,16.4
16.502,16431,16.5
16.601,16431,16.6
16.702,16431,16.7
16.802,16431,16.8
16.902,16431,16.9
17.002,16431,17.0
17.102,16431,17.1
17.201,16431,17.2
17.301,16431,17.3
17.402,16431,17.4
17.502,16431,17.5
17.602,16431,17.6
17.702,16431,17.7
17.802,16431,17.8
17.901,16431,17.9
18.002,16431,18.0
18.102,16431,18.1
18.202,16431,18.2
18.302,16431,18.3
18.402,16431,18.4
18.502,16431,18.5
18.603,16431,18.6
18.702,16431,18.7
18.802,16431,18.8
18.902,16431,18.9
19.003,16431,19.0
19.102,16431,19.1
19.203,16431,19.2
19.306,16431,19.3
19.401,16431,19.4
19.502,16431,19.5
19.603,16431,19.6
19.703,16431,19.7
19.802,16431,19.8
19.902,16431,19.9
20.001,16431,20.0
20.102,16431,20.1
20.201,16431,20.2
20.303,16431,20.3
20.402,16431,20.4
20.502,16431,20.5
20.602,16431,20.6
20.702,16431,20.7
20.807,16431,20.8
20.902,16431,20.9
21.002,16431,21.0
21.101,16431,21.1
21.201,16431,21.2
21.302,16431,21.3
21.406,16431,21.4
21.503,16431,21.5
21.602,16431,21.6
21.702,16431,21.7
21.804,16431,21.8
21.902,16431,21.9
22.000,16431,22.0
22.102,16431,22.1
22.201,16431,22.2
22.301,16431,22.3
22.401,16431,22.4
22.501,16431,22.5
22.602,16431,22.6
22.702,16431,22.7
22.802,16431,22.8
22.901,16431,22.9
23.003,16431,23.0
23.102,16431,23.1
23.202,16431,23.2
23.302,16431,23.3
23.402,16431,23.4
23.501,16431,23.5
23.602,16431,23.6
23.702,16431,23.7
23.802,16431,23.8
23.902,16431,23.9
24.001,16431,24.0
24.102,16431,24.1
24.206,16431,24.2
24.303,16431,24.3
24.402,16431,24.4
24.502,16431,24.5
24.603,16431,24.6
24.702,16431,24.7
24.802,16431,24.8
24.902,16431,24.9
25.003,16431,25.0
25.103,16431,25.1
25.202,16431,25.2
25.303,16431,25.3
25.401,16431,25.4
25.502,16431,25.5
25.602,16431,25.6
25.702,16431,25.7
25.802,16431,25.8
25.902,16431,25.9
26.001,16431,26.0
26.102,16431,26.1
26.201,16431,26.2
26.306,16431,26.3
26.405,16431,26.4
26.503,16431,26.5
26.603,16431,26.6
26.702,16431,26.7
26.801,16431,26.8
26.902,16431,26.9
27.002,16431,27.0
27.101,16431,27.1
27.201,16431,27.2
27.301,16431,27.3
27.402,16431,27.4
27.502,16431,27.5
27.602,16431,27.6
27.701,16431,27.7
27.801,16431,27.8
27.902,16431,27.9
28.002,16431,28.0
28.102,16431,28.1
28.200,16431,28.2
28.309,16431,28.3
28.402,16431,28.4
28.503,16431,28.5
28.602,16431,28.6
28.702,16431,28.7
28.807,16431,28.8
28.902,16431,28.9
29.002,16431,29.0
29.102,16431,29.1
29.201,16431,29.2
29.302,16431,29.3
29.402,16431,29.4
29.501,16431,29.5
29.607,16431,29.6
29.702,16431,29.7
29.802,16431,29.8
29.902,16431,29.9
30.002,16431,30.0
30.103,16431,30.1
30.202,16431,30.2
30.303,16431,30.3
30.402,16431,30.4
30.501,16431,30.5
30.606,16431,30.6
30.702,16431,30.7
30.803,16431,30.8
30.901,16431,30.9
31.003,16431,31.0
31.202,16431,31.2
31.306,16431,31.3
31.403,16431,31.4
31.502,16431,31.5
31.601,16431,31.6
31.702,16431,31.7
31.804,16431,31.8
31.902,16431,31.9
32.201,16431,32.2
32.301,16431,32.3
32.402,16431,32.4
32.502,16431,32.5
32.603,16431,32.6
32.701,16431,32.7
32.802,16431,32.8
32.902,16431,32.9
33.002,16431,33.0
33.103,16431,33.1
33.200,16431,33.2
33.301,16431,33.3
33.403,16431,33.4
33.501,16431,33.5
33.602,16431,33.6
33.703,16431,33.7
33.802,16431,33.8
33.902,16431,33.9
34.102,16431,34.1
34.201,16431,34.2
34.302,16431,34.3
34.403,16431,34.4
34.503,16431,34.5
34.606,16431,34.6
38.201,16431,38.2
38.303,16431,38.3
38.402,16431,38.4
38.502,16431,38.5
38.802,16431,38.8
38.903,16431,38.9
39.001,16431,39.0
39.101,16431,39.1
40.902,16431,40.9
41.003,16431,41.0
41.103,16431,41.1
41.206,16431,41.2
41.305,16431,41.3
41.403,16431,41.4
41.702,16431,41.7
49.002,16431,49.0
