# T[s],valid,enu_e[m],enu_n[m],enu_u[m]
-2.099,1,2,4,52
-1.999,1,5,0,58
-1.900,1,4,6,55
-1.794,1,4,0,56
-1.699,1,3,5,54
-1.600,1,4,0,57
-1.500,1,4,5,55
-1.400,1,5,-1,58
-1.300,1,3,3,52
-1.199,1,4,-1,58
-1.097,1,3,3,52
-0.998,1,4,-1,58
-0.899,1,2,4,52
-0.800,1,4,-1,58
-0.700,1,2,2,47
-0.599,1,3,0,60
-0.499,1,2,2,47
-0.399,1,4,1,59
-0.300,1,0,1,48
-0.200,1,3,0,57
-0.099,1,0,3,50
-0.000,1,3,0,57
0.099,1,0,5,52
0.199,1,3,0,57
0.300,1,1,5,53
0.400,1,4,0,54
0.504,1,1,5,51
0.603,1,4,0,54
0.703,1,1,4,50
0.803,1,6,2,61
0.900,1,0,4,51
1.000,1,5,0,57
1.101,1,1,3,53
1.200,1,4,0,56
1.301,1,1,3,54
1.399,1,3,-1,55
1.501,1,0,5,60
1.600,1,5,0,57
1.707,1,0,3,58
1.800,1,4,-1,57
1.900,1,0,2,56
2.001,1,2,-1,59
2.101,1,-1,1,55
2.201,1,2,0,58
2.300,1,0,0,54
2.400,1,2,0,59
2.501,1,0,3,58
2.601,1,2,0,61
2.701,1,0,0,59
2.800,1,1,0,62
2.900,1,0,2,61
3.001,1,2,-1,62
3.100,1,0,2,60
3.203,1,1,-1,63
3.301,1,0,1,62
3.401,1,2,0,67
3.500,1,1,2,64
3.602,1,1,-2,67
3.700,1,0,0,63
3.801,1,1,-1,68
3.901,1,0,0,64
4.001,1,1,0,71
4.100,1,0,1,68
4.206,1,1,0,73
4.301,1,0,0,66
4.401,1,2,-1,73
4.506,1,0,0,69
4.600,1,1,-1,74
4.700,1,0,0,72
4.800,1,1,0,76
4.900,1,0,0,74
5.001,1,1,-1,78
5.101,1,0,1,77
5.201,1,1,-1,78
5.300,1,0,0,80
5.400,1,1,-2,82
5.500,1,1,0,82
5.601,1,1,-2,86
5.701,1,0,0,86
5.801,1,1,-4,86
5.900,1,0,0,87
6.000,1,1,-3,88
6.101,1,0,-1,88
6.200,1,1,-4,91
6.299,1,0,0,94
6.401,1,0,-4,95
6.500,1,0,0,97
6.601,1,1,-3,99
6.700,1,0,0,98
6.800,1,0,-4,101
6.902,1,0,-1,102
7.002,1,0,-6,103
7.102,1,0,-4,104
7.200,1,0,-4,110
7.300,1,0,-3,106
7.400,1,1,-5,111
7.500,1,0,-2,110
7.600,1,1,-5,115
7.700,1,-1,-4,114
7.800,1,1,-5,120
7.900,1,-1,-3,119
8.000,1,0,-5,126
8.107,1,-1,-4,122
8.201,1,1,-7,128
8.301,1,-1,-3,127
8.400,1,0,-8,133
8.500,1,0,-2,132
8.600,1,1,-6,136
8.700,1,-1,-3,137
8.802,1,1,-6,140
8.901,1,-1,-2,143
9.002,1,0,-7,144
9.100,1,0,-2,147
9.200,1,0,-7,151
9.301,1,0,-4,149
9.400,1,0,-6,156
9.501,1,0,-6,154
9.600,1,1,-7,159
9.700,1,-1,-5,158
9.800,1,0,-9,165
9.900,1,0,-4,163
10.001,1,0,-11,168
10.101,1,0,-4,169
10.201,1,0,-11,174
10.300,1,0,-8,172
10.402,1,1,-11,179
10.500,1,-1,-7,179
10.600,1,1,-10,185
10.701,1,-1,-7,183
10.800,1,0,-11,193
10.900,1,-1,-7,191
11.000,1,0,-11,197
11.101,1,-1,-6,198
11.200,1,0,-12,203
11.301,1,-3,-8,207
11.401,1,-2,-16,209
11.501,1,-2,-7,211
11.601,1,0,-14,215
11.700,1,-2,-8,216
11.801,1,-1,-13,222
11.901,1,-1,-9,222
12.002,1,-1,-13,229
12.100,1,-2,-11,227
12.200,1,0,-11,235
12.300,1,0,-9,235
12.401,1,-1,-13,240
12.500,1,0,-9,244
12.602,1,0,-13,247
12.701,1,-1,-9,251
12.801,1,0,-15,255
12.900,1,-1,-10,257
13.001,1,0,-15,263
13.101,1,0,-9,264
13.201,1,1,-14,271
13.301,1,0,-11,272
13.400,1,0,-16,279
13.500,1,0,-9,282
13.602,1,0,-16,284
13.700,1,0,-8,289
13.801,1,0,-17,293
13.900,1,-1,-10,297
14.000,1,1,-17,303
14.100,1,-1,-11,305
14.200,1,-1,-21,312
14.300,1,-1,-13,314
14.401,1,-2,-21,321
14.500,1,-2,-13,323
14.602,1,-1,-18,328
14.700,1,-1,-12,332
14.801,1,1,-17,337
14.901,1,-1,-10,343
