# T[s],vavle_state,power_a[A],power_v[V]
7.112,2,-0.08,16.61
7.212,2,-0.06,16.62
7.311,2,-0.06,16.62
7.401,2,-0.08,16.62
7.511,2,-0.10,16.62
7.602,2,-0.06,16.61
7.711,2,-0.04,16.61
7.803,2,-0.04,16.62
7.911,2,-0.04,16.61
8.003,2,-0.04,16.61
8.113,2,-0.04,16.61
8.212,2,-0.06,16.62
8.302,2,-0.02,16.60
8.402,2,-0.04,16.60
8.511,2,-0.06,16.61
8.602,2,-0.02,16.62
8.702,2,-0.06,16.62
8.802,2,-0.06,16.61
8.912,2,-0.06,16.62
9.003,2,-0.02,16.61
9.103,2,-0.06,16.62
9.211,2,-0.04,16.62
9.301,2,0.00,16.60
9.401,2,-0.06,16.62
9.512,2,-0.02,16.61
9.601,2,-0.04,16.62
9.711,2,-0.06,16.62
9.801,2,-0.06,16.61
9.901,2,0.00,16.61
10.002,2,-0.06,16.63
10.102,2,-0.02,16.59
10.202,2,-0.02,16.61
10.313,2,-0.02,16.61
10.402,2,-0.04,16.62
10.501,2,0.00,16.61
10.602,2,-0.08,16.62
10.702,2,-0.04,16.62
10.803,2,-0.06,16.61
10.911,2,0.00,16.58
11.003,2,-0.04,16.61
11.103,2,-0.02,16.60
11.202,2,-0.04,16.62
11.302,2,-0.02,16.61
11.402,2,-0.02,16.61
11.503,2,-0.08,16.62
11.603,2,-0.06,16.62
11.703,2,0.00,16.61
11.802,2,-0.04,16.62
11.902,2,-0.02,16.59
12.002,2,-0.04,16.61
12.101,2,-0.02,16.62
12.202,2,-0.02,16.60
12.303,2,-0.06,16.63
12.402,2,-0.08,16.61
12.502,2,-0.08,16.61
12.602,2,-0.04,16.60
12.702,2,-0.04,16.62
12.802,2,-0.02,16.62
12.902,2,-0.06,16.61
13.001,2,-0.06,16.62
13.102,2,-0.04,16.62
13.202,2,-0.06,16.60
13.302,2,-0.02,16.62
13.402,2,-0.04,16.60
13.502,2,-0.06,16.60
13.603,2,-0.06,16.62
13.702,2,0.00,16.59
13.802,2,-0.04,16.62
13.902,2,0.00,16.61
14.002,2,-0.04,16.62
14.101,2,0.00,16.60
14.201,2,-0.06,16.62
14.301,2,-0.04,16.62
14.402,2,-0.06,16.62
14.503,2,-0.06,16.62
14.602,2,-0.02,16.61
14.701,2,-0.06,16.61
14.803,2,-0.02,16.61
14.903,2,-0.04,16.60
15.002,2,-0.04,16.60
15.102,2,-0.02,16.61
15.202,2,-0.06,16.61
15.303,2,-0.04,16.61
15.402,2,-0.02,16.60
15.502,2,-0.04,16.61
15.603,2,-0.08,16.61
15.702,2,-0.02,16.61
15.802,2,-0.08,16.62
15.903,2,-0.02,16.60
16.003,2,-0.04,16.60
16.102,2,-0.06,16.62
16.206,2,-0.04,16.62
16.302,2,-0.04,16.61
16.403,2,-0.04,16.61
16.502,2,-0.02,16.60
16.603,2,-0.04,16.63
16.702,2,-0.04,16.60
16.802,2,-0.04,16.62
16.902,2,-0.06,16.61
17.002,2,-0.06,16.62
17.102,2,-0.06,16.62
17.201,2,-0.08,16.62
17.303,2,-0.04,16.62
17.404,2,-0.08,16.62
17.502,2,-0.06,16.62
17.602,2,-0.10,16.61
17.702,2,-0.08,16.62
17.802,2,-0.06,16.62
17.903,2,-0.08,16.61
18.004,2,-0.06,16.62
18.102,2,-0.10,16.63
18.203,2,-0.10,16.62
18.302,2,-0.08,16.63
18.403,2,-0.04,16.62
18.502,2,-0.04,16.61
18.703,2,-0.08,16.63
18.803,2,-0.08,16.62
18.902,2,-0.06,16.62
19.003,2,-0.06,16.61
19.102,2,-0.02,16.61
19.203,2,-0.06,16.60
19.306,2,-0.06,16.62
19.402,2,-0.08,16.62
19.502,2,-0.06,16.61
19.603,2,-0.06,16.60
19.703,2,-0.04,16.61
19.802,2,-0.06,16.62
19.902,2,-0.06,16.61
20.002,2,-0.10,16.62
20.102,2,-0.04,16.60
20.203,2,-0.04,16.60
20.303,2,-0.08,16.62
20.404,2,-0.06,16.61
20.502,2,-0.06,16.62
20.602,2,-0.06,16.62
20.702,2,-0.06,16.62
20.807,2,-0.06,16.62
20.903,2,-0.04,16.62
21.002,2,-0.04,16.62
21.102,2,-0.08,16.62
21.202,2,-0.08,16.62
21.302,2,-0.06,16.61
21.406,2,-0.06,16.62
21.503,2,-0.08,16.61
