T[s],fix,unixtime[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],sat[n],hdop
-6.400,1,1501399855,-3783427,2804039,4287265,0,0,0,11,1.1
-6.201,1,1501399855,-3783427,2804037,4287266,0,0,0,11,1.1
-5.998,1,1501399855,-3783427,2804036,4287267,0,0,0,11,1.1
-5.786,1,1501399855,-3783427,2804036,4287267,0,0,0,11,1.1
-5.593,1,1501399856,-3783427,2804036,4287267,0,0,0,11,1.1
-5.399,1,1501399856,-3783427,2804037,4287269,0,0,0,11,1.1
-5.200,1,1501399856,-3783426,2804037,4287267,0,0,0,11,1.1
-4.999,1,1501399856,-3783427,2804037,4287263,0,0,0,11,1.1
-4.790,1,1501399856,-3783426,2804037,4287262,0,0,0,11,1.1
-4.596,1,1501399857,-3783427,2804036,4287262,0,0,0,11,1.1
-4.400,1,1501399857,-3783426,2804037,4287263,0,0,0,11,1.1
-4.199,1,1501399857,-3783425,2804035,4287263,0,0,0,11,1.1
-4.001,1,1501399857,-3783425,2804035,4287262,0,0,0,11,1.1
-3.792,1,1501399857,-3783423,2804035,4287259,0,0,0,11,1.1
-3.601,1,1501399858,-3783425,2804036,4287262,0,0,0,11,1.1
-3.401,1,1501399858,-3783424,2804034,4287264,0,0,0,11,1.1
-3.200,1,1501399858,-3783425,2804036,4287263,0,0,0,11,1.1
-3.001,1,1501399858,-3783425,2804036,4287264,0,0,0,11,1.1
-2.792,1,1501399858,-3783423,2804037,4287262,0,0,0,11,1.1
-2.600,1,1501399859,-3783423,2804035,4287262,0,0,0,11,1.1
-2.400,1,1501399859,-3783424,2804034,4287261,0,0,0,11,1.1
-2.201,1,1501399859,-3783423,2804034,4287260,0,0,0,11,1.1
-2.000,1,1501399859,-3783424,2804033,4287264,0,0,0,11,1.1
-1.783,1,1501399859,-3783424,2804034,4287263,0,0,0,11,1.1
-1.601,1,1501399860,-3783425,2804034,4287263,0,0,0,11,1.1
-1.400,1,1501399860,-3783424,2804034,4287260,0,0,0,11,1.1
-1.200,1,1501399860,-3783424,2804034,4287260,0,0,0,11,1.1
-1.001,1,1501399860,-3783423,2804034,4287261,0,0,0,11,1.1
-0.791,1,1501399860,-3783421,2804033,4287256,0,0,0,11,1.1
-0.599,1,1501399861,-3783421,2804033,4287256,0,0,0,11,1.1
-0.399,1,1501399861,-3783421,2804035,4287255,0,0,0,11,1.1
-0.200,1,1501399861,-3783421,2804035,4287258,0,0,0,11,1.1
-0.000,1,1501399861,-3783421,2804035,4287261,0,0,0,11,1.1
0.209,1,1501399861,-3783422,2804035,4287262,0,0,0,11,1.1
0.405,1,1501399862,-3783421,2804034,4287261,0,0,0,11,1.1
0.603,1,1501399862,-3783421,2804034,4287259,0,0,0,11,1.1
0.803,1,1501399862,-3783421,2804036,4287260,0,0,0,11,1.1
1.000,1,1501399862,-3783423,2804036,4287261,0,0,0,11,1.1
1.209,1,1501399862,-3783424,2804037,4287261,0,0,0,11,1.1
1.403,1,1501399863,-3783425,2804040,4287267,0,0,0,11,1.1
1.600,1,1501399863,-3783425,2804040,4287264,0,0,0,11,1.1
1.800,1,1501399863,-3783424,2804039,4287262,0,0,0,11,1.1
1.999,1,1501399863,-3783424,2804040,4287260,0,0,0,11,1.1
2.209,1,1501399863,-3783424,2804039,4287259,0,0,0,11,1.1
2.404,1,1501399864,-3783425,2804039,4287264,0,0,0,11,1.1
2.601,1,1501399864,-3783427,2804041,4287262,0,0,0,11,1.1
2.799,1,1501399864,-3783428,2804041,4287265,0,0,0,11,1.1
3.000,1,1501399864,-3783427,2804041,4287264,0,0,0,11,1.1
3.216,1,1501399864,-3783429,2804042,4287265,0,0,0,11,1.1
3.403,1,1501399865,-3783430,2804041,4287267,0,0,0,11,1.1
3.600,1,1501399865,-3783430,2804042,4287265,0,0,0,11,1.1
3.801,1,1501399865,-3783431,2804043,4287266,0,0,0,11,1.1
4.003,1,1501399865,-3783433,2804044,4287269,0,0,0,11,1.1
4.216,1,1501399865,-3783432,2804044,4287267,0,0,0,11,1.1
4.401,1,1501399866,-3783434,2804046,4287268,0,0,0,11,1.1
4.600,1,1501399866,-3783435,2804047,4287271,0,0,0,11,1.1
4.800,1,1501399866,-3783436,2804048,4287272,0,0,0,11,1.1
5.000,1,1501399866,-3783438,2804048,4287275,0,0,0,11,1.1
5.210,1,1501399866,-3783440,2804050,4287276,0,0,0,11,1.1
5.404,1,1501399867,-3783442,2804050,4287278,0,0,0,11,1.1
5.600,1,1501399867,-3783444,2804052,4287281,0,0,0,11,1.1
5.801,1,1501399867,-3783445,2804053,4287280,0,0,0,11,1.1
6.000,1,1501399867,-3783446,2804054,4287281,0,0,0,11,1.1
6.210,1,1501399867,-3783448,2804057,4287286,0,0,0,11,1.1
6.402,1,1501399868,-3783450,2804058,4287287,0,0,0,11,1.1
6.600,1,1501399868,-3783451,2804059,4287288,0,0,0,11,1.1
6.800,1,1501399868,-3783454,2804061,4287290,0,0,0,11,1.1
7.001,1,1501399868,-3783456,2804063,4287289,0,0,0,11,1.1
7.210,1,1501399868,-3783457,2804063,4287291,0,0,0,11,1.1
