# T[s],barometer[Pa],temp[C]
5.653,100919,30.4
5.754,100900,30.4
5.854,100881,30.4
5.955,100874,30.4
6.055,100860,30.4
6.155,100839,30.4
6.255,100820,30.4
6.354,100795,30.4
6.455,100782,30.4
6.555,100768,30.4
6.656,100753,30.4
6.755,100717,30.4
6.859,100692,30.4
6.957,100690,30.4
7.055,100671,30.4
7.155,100646,30.4
7.255,100625,30.4
7.355,100604,30.4
7.454,100582,30.4
7.554,100565,30.4
7.655,100529,30.4
7.755,100506,30.4
7.855,100492,30.4
7.955,100467,30.4
8.055,100453,30.4
8.159,100426,30.4
8.256,100390,30.4
8.355,100372,30.4
8.455,100345,30.4
8.555,100327,30.4
8.655,100289,30.4
8.755,100275,30.4
8.855,100247,30.4
8.955,100218,30.4
9.055,100189,30.4
9.155,100170,30.4
9.256,100143,30.4
9.356,100096,30.4
9.455,100061,30.4
9.555,100030,30.4
9.655,100024,30.4
9.755,99989,30.4
9.855,99958,30.4
9.958,99927,30.4
10.059,99889,30.4
10.155,99853,30.4
10.259,99815,30.4
10.355,99800,30.4
10.455,99765,30.4
10.558,99729,30.4
10.655,99701,30.4
10.755,99668,30.4
10.855,99630,30.4
10.955,99591,30.4
11.055,99538,30.4
11.163,99530,30.4
11.254,99495,30.4
11.355,99448,30.4
11.455,99392,30.4
11.555,99371,30.4
11.655,99343,30.4
11.755,99301,30.4
11.855,99257,30.4
11.954,99215,30.4
12.055,99175,30.4
12.163,99146,30.4
12.256,99101,30.4
12.356,99038,30.4
12.454,98995,30.4
12.554,98975,30.4
12.655,98940,30.4
12.755,98900,30.4
12.855,98850,30.4
12.955,98803,30.4
13.055,98736,30.4
13.155,98685,30.4
13.256,98679,30.4
13.355,98631,30.4
13.455,98573,30.4
13.555,98527,30.4
13.655,98480,30.4
13.755,98449,30.4
13.856,98373,30.4
13.955,98324,30.4
14.056,98288,30.4
14.156,98217,30.4
14.255,98183,30.4
14.354,98130,30.4
14.454,98077,30.4
14.555,98022,30.4
14.655,97975,30.4
14.755,97935,30.4
14.860,97876,30.4
14.955,97823,30.4
15.055,97768,30.4
15.155,97710,30.4
15.259,97677,30.4
15.356,97613,30.4
15.456,97555,30.4
15.556,97497,30.4
15.655,97437,30.4
15.755,97397,30.4
15.855,97335,30.4
15.955,97276,30.4
16.055,97218,30.4
16.156,97149,30.4
16.256,97086,30.4
16.355,97047,30.4
16.455,96986,30.4
16.555,96920,30.4
16.655,96854,30.4
16.755,96791,30.4
16.854,96755,30.4
16.956,96685,30.4
17.056,96622,30.4
17.155,96554,30.4
17.256,96485,30.4
17.355,96440,30.4
17.456,96380,30.4
17.555,96314,30.4
17.655,96238,30.4
17.755,96174,30.4
17.855,96130,30.4
17.955,96052,30.4
18.056,95984,30.4
18.155,95918,30.4
18.255,95854,30.4
18.355,95801,30.4
18.455,95733,30.4
18.555,95659,30.4
18.656,95585,30.4
18.755,95516,30.4
18.855,95472,30.4
18.960,95398,30.4
19.055,95329,30.4
19.155,95258,30.4
19.255,95183,30.4
19.356,95107,30.4
19.455,95055,30.4
19.555,94975,30.4
19.655,94900,30.4
19.756,94824,30.4
19.856,94747,30.4
19.955,94696,30.4
20.055,94623,30.4
20.155,94536,30.4
20.256,94463,30.4
20.355,94382,30.4
20.456,94321,30.4
20.555,94243,30.4
20.654,94166,30.4
20.755,94081,30.4
20.855,93999,30.4
20.955,93943,30.4
