T[s],fix,unixtime[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],sat[n],hdop
-11.197,1,1501399850,-3783427,2804036,4287252,0,0,0,13,1.0
-10.997,1,1501399850,-3783426,2804035,4287254,0,0,0,13,1.0
-10.783,1,1501399850,-3783426,2804037,4287254,0,0,0,13,1.0
-10.594,1,1501399851,-3783427,2804036,4287256,0,0,0,13,1.0
-10.398,1,1501399851,-3783427,2804036,4287255,0,0,0,13,1.0
-10.197,1,1501399851,-3783426,2804037,4287253,0,0,0,13,1.0
-9.998,1,1501399851,-3783424,2804036,4287251,0,0,0,13,1.0
-9.782,1,1501399851,-3783425,2804038,4287245,0,0,0,13,1.0
-9.594,1,1501399852,-3783427,2804038,4287249,0,0,0,13,1.0
-9.397,1,1501399852,-3783427,2804038,4287250,0,0,0,13,1.0
-9.198,1,1501399852,-3783427,2804042,4287252,0,0,0,13,1.0
-8.995,1,1501399852,-3783427,2804040,4287250,0,0,0,13,1.0
-8.783,1,1501399852,-3783426,2804040,4287248,0,0,0,13,1.0
-8.595,1,1501399853,-3783425,2804039,4287248,0,0,0,13,1.0
-8.397,1,1501399853,-3783426,2804039,4287251,0,0,0,13,1.0
-8.196,1,1501399853,-3783427,2804040,4287253,0,0,0,13,1.0
-7.997,1,1501399853,-3783427,2804040,4287253,0,0,0,13,1.0
-7.783,1,1501399853,-3783427,2804039,4287252,0,0,0,13,1.0
-7.596,1,1501399854,-3783426,2804039,4287251,0,0,0,13,1.0
-7.396,1,1501399854,-3783425,2804039,4287249,0,0,0,13,1.0
-7.197,1,1501399854,-3783425,2804038,4287249,0,0,0,13,1.0
-6.996,1,1501399854,-3783427,2804037,4287249,0,0,0,13,1.0
-6.782,1,1501399854,-3783428,2804037,4287250,0,0,0,13,1.0
-6.593,1,1501399855,-3783427,2804037,4287249,0,0,0,13,1.0
-6.396,1,1501399855,-3783426,2804038,4287247,0,0,0,13,1.0
-6.197,1,1501399855,-3783427,2804037,4287250,0,0,0,13,1.0
-5.996,1,1501399855,-3783427,2804037,4287252,0,0,0,13,1.0
-5.780,1,1501399855,-3783426,2804038,4287253,0,0,0,13,1.0
-5.592,1,1501399856,-3783427,2804038,4287251,0,0,0,13,1.0
-5.398,1,1501399856,-3783428,2804037,4287254,0,0,0,13,1.0
-5.197,1,1501399856,-3783428,2804037,4287254,0,0,0,13,1.0
-4.997,1,1501399856,-3783428,2804038,4287259,0,0,0,13,1.0
-4.783,1,1501399856,-3783428,2804036,4287259,0,0,0,13,1.0
-4.593,1,1501399857,-3783429,2804038,4287257,0,0,0,13,1.0
-4.396,1,1501399857,-3783429,2804038,4287256,0,0,0,13,1.0
-4.199,1,1501399857,-3783428,2804038,4287256,0,0,0,13,1.0
-3.997,1,1501399857,-3783427,2804037,4287255,0,0,0,13,1.0
-3.783,1,1501399857,-3783428,2804037,4287255,0,0,0,13,1.0
-3.595,1,1501399858,-3783429,2804037,4287257,0,0,0,13,1.0
-3.398,1,1501399858,-3783429,2804037,4287256,0,0,0,13,1.0
-3.196,1,1501399858,-3783428,2804038,4287256,0,0,0,13,1.0
-2.998,1,1501399858,-3783429,2804037,4287256,0,0,0,13,1.0
-2.781,1,1501399858,-3783431,2804036,4287260,0,0,0,13,1.0
-2.598,1,1501399859,-3783431,2804036,4287260,0,0,0,13,1.0
-2.398,1,1501399859,-3783430,2804037,4287257,0,0,0,13,1.0
-2.197,1,1501399859,-3783431,2804036,4287261,0,0,0,13,1.0
-1.999,1,1501399859,-3783429,2804036,4287260,0,0,0,13,1.0
-1.780,1,1501399859,-3783430,2804037,4287260,0,0,0,13,1.0
-1.598,1,1501399860,-3783431,2804037,4287260,0,0,0,13,1.0
-1.395,1,1501399860,-3783431,2804038,4287260,0,0,0,13,1.0
-1.196,1,1501399860,-3783431,2804038,4287260,0,0,0,13,1.0
-0.997,1,1501399860,-3783431,2804038,4287260,0,0,0,13,1.0
-0.782,1,1501399860,-3783430,2804038,4287263,0,0,0,13,1.0
-0.599,1,1501399861,-3783430,2804037,4287263,0,0,0,13,1.0
-0.398,1,1501399861,-3783429,2804037,4287260,0,0,0,13,1.0
-0.197,1,1501399861,-3783429,2804037,4287260,0,0,0,13,1.0
0.002,1,1501399861,-3783429,2804037,4287260,0,0,0,13,1.0
0.218,1,1501399861,-3783427,2804035,4287259,0,0,0,13,1.0
0.405,1,1501399862,-3783428,2804036,4287258,0,0,0,13,1.0
0.604,1,1501399862,-3783432,2804036,4287265,0,0,0,13,1.0
0.806,1,1501399862,-3783430,2804036,4287261,0,0,0,13,1.0
1.005,1,1501399862,-3783428,2804036,4287260,0,0,0,13,1.0
1.218,1,1501399862,-3783428,2804037,4287258,0,0,0,13,1.0
1.403,1,1501399863,-3783430,2804036,4287260,0,0,0,13,1.0
1.602,1,1501399863,-3783430,2804037,4287259,0,0,0,13,1.0
1.801,1,1501399863,-3783430,2804039,4287261,0,0,0,13,1.0
2.004,1,1501399863,-3783429,2804039,4287261,0,0,0,13,1.0
2.218,1,1501399863,-3783430,2804039,4287262,0,0,0,13,1.0
2.404,1,1501399864,-3783431,2804040,4287263,0,0,0,13,1.0
2.602,1,1501399864,-3783431,2804041,4287263,0,0,0,13,1.0
2.801,1,1501399864,-3783432,2804041,4287263,0,0,0,13,1.0
3.004,1,1501399864,-3783432,2804042,4287263,0,0,0,13,1.0
3.224,1,1501399864,-3783434,2804043,4287267,0,0,0,13,1.0
3.404,1,1501399865,-3783435,2804044,4287266,0,0,0,13,1.0
3.604,1,1501399865,-3783435,2804045,4287267,0,0,0,13,1.0
3.803,1,1501399865,-3783436,2804045,4287270,0,0,0,13,1.0
4.005,1,1501399865,-3783437,2804046,4287272,0,0,0,13,1.0
4.223,1,1501399865,-3783438,2804046,4287270,0,0,0,12,1.0
4.403,1,1501399866,-3783438,2804047,4287271,0,0,0,12,1.0
4.602,1,1501399866,-3783439,2804048,4287273,0,0,0,12,1.0
4.801,1,1501399866,-3783441,2804049,4287274,0,0,0,12,1.0
