# T[s],IIP_lat[deg],IIP_lng[deg]
19.701,42.505718,143.457382
19.802,42.505703,143.457413
19.902,42.505684,143.457443
20.001,42.505672,143.457443
20.102,42.505692,143.457489
20.301,42.505707,143.457489
20.402,42.505661,143.457504
20.501,42.505692,143.457535
20.601,42.505676,143.457565
20.702,42.505661,143.457565
20.807,42.505653,143.457596
20.902,42.505630,143.457581
21.002,42.505669,143.457642
21.101,42.505596,143.457642
21.302,42.505653,143.457687
21.408,42.505569,143.457672
21.501,42.505657,143.457703
21.601,42.505619,143.457748
21.701,42.505558,143.457764
21.804,42.505596,143.457779
21.902,42.505505,143.457794
22.102,42.505585,143.457840
22.201,42.505516,143.457840
22.301,42.505554,143.457870
22.401,42.505550,143.457932
22.501,42.505497,143.457947
22.602,42.505543,143.457977
22.702,42.505566,143.458023
22.802,42.505543,143.458023
22.901,42.505508,143.458054
23.003,42.505520,143.458099
23.101,42.505478,143.458099
23.302,42.505512,143.458099
23.402,42.505531,143.458160
23.501,42.505478,143.458191
23.602,42.505501,143.458221
23.702,42.505466,143.458237
23.801,42.505508,143.458252
23.902,42.505444,143.458282
24.101,42.505501,143.458328
24.206,42.505447,143.458344
24.302,42.505466,143.458344
24.405,42.505459,143.458359
24.502,42.505463,143.458420
24.603,42.505466,143.458450
24.701,42.505466,143.458450
24.802,42.505455,143.458481
24.902,42.505440,143.458481
25.002,42.505455,143.458527
25.101,42.505371,143.458496
25.202,42.505470,143.458572
25.303,42.505466,143.458603
25.401,42.505436,143.458618
25.501,42.505402,143.458618
25.602,42.505466,143.458679
25.702,42.505428,143.458649
25.802,42.505428,143.458679
26.001,42.505409,143.458740
26.102,42.505440,143.458694
26.304,42.505371,143.458771
26.406,42.505379,143.458725
26.502,42.505383,143.458786
26.603,42.505341,143.458832
26.701,42.505352,143.458817
26.801,42.505322,143.458862
26.902,42.505325,143.458847
27.002,42.505314,143.458923
27.101,42.505341,143.458908
27.301,42.505268,143.459000
27.406,42.505299,143.458939
27.502,42.505272,143.459015
27.602,42.505341,143.459000
27.701,42.505245,143.459091
27.801,42.505253,143.459152
27.902,42.505264,143.459091
28.001,42.505211,143.459198
28.101,42.505219,143.459167
28.307,42.505219,143.459274
28.404,42.505184,143.459244
28.502,42.505215,143.459320
28.602,42.505165,143.459305
28.701,42.505184,143.459396
28.807,42.505157,143.459442
28.902,42.505096,143.459412
29.002,42.505169,143.459534
29.102,42.505100,143.459503
29.301,42.505157,143.459564
29.406,42.505062,143.459579
29.501,42.505116,143.459641
29.607,42.505093,143.459656
29.702,42.504955,143.459671
29.902,42.505020,143.459717
30.002,42.505009,143.459778
30.101,42.504944,143.459808
30.303,42.504951,143.459839
30.402,42.504925,143.459869
30.501,42.504921,143.459946
30.606,42.504871,143.459976
30.702,42.504852,143.459991
30.803,42.504848,143.460007
30.901,42.504803,143.460068
31.001,42.504826,143.460098
31.102,42.504795,143.460159
31.306,42.504776,143.460205
31.403,42.504692,143.460236
31.501,42.504688,143.460266
31.601,42.504715,143.460403
31.702,42.504639,143.460403
31.802,42.504665,143.460480
31.902,42.504662,143.460541
32.002,42.504662,143.460556
32.301,42.504616,143.460678
32.402,42.504635,143.460709
32.502,42.504642,143.460754
32.602,42.504616,143.460831
32.701,42.504677,143.460876
32.802,42.504635,143.460907
32.902,42.504684,143.460953
33.002,42.504070,143.460648
33.102,42.504734,143.461029
33.301,42.504124,143.460724
33.403,42.504604,143.461075
33.501,42.504658,143.461166
33.602,42.504642,143.461243
33.701,42.504677,143.461182
33.802,42.504642,143.461304
33.902,42.504692,143.461212
