# T[s],q2
-33.186,0.00216547
-33.176,0.00216803
-33.164,0.00216725
-33.156,0.00216790
-33.146,0.00216655
-33.135,0.00216451
-33.126,0.00215909
-33.115,0.00216072
-33.105,0.00216332
-33.094,0.00216500
-33.085,0.00215764
-33.076,0.00215005
-33.066,0.00214715
-33.055,0.00214689
-33.046,0.00214308
-33.035,0.00214633
-33.026,0.00214131
-33.014,0.00213863
-33.006,0.00213380
-32.994,0.00213554
-32.986,0.00214286
-32.976,0.00214846
-32.965,0.00214871
-32.955,0.00214750
-32.945,0.00214394
-32.935,0.00214626
-32.926,0.00214798
-32.916,0.00214861
-32.906,0.00215040
-32.896,0.00215496
-32.885,0.00216131
-32.874,0.00216190
-32.866,0.00216189
-32.855,0.00215980
-32.845,0.00215881
-32.834,0.00215738
-32.826,0.00215671
-32.816,0.00215980
-32.806,0.00216447
-32.795,0.00216514
-32.785,0.00216338
-32.775,0.00216560
-32.765,0.00216249
-32.756,0.00216414
-32.746,0.00216176
-32.736,0.00216660
-32.726,0.00216767
-32.716,0.00216777
-32.706,0.00216758
-32.695,0.00216867
-32.685,0.00216506
-32.675,0.00216765
-32.664,0.00217340
-32.655,0.00217042
-32.644,0.00217322
-32.636,0.00217716
-32.625,0.00217942
-32.616,0.00217485
-32.605,0.00217780
-32.595,0.00218378
-32.585,0.00218231
-32.575,0.00218080
-32.565,0.00218278
-32.555,0.00218085
-32.546,0.00218499
-32.536,0.00218630
-32.526,0.00218804
-32.515,0.00218398
-32.505,0.00217933
-32.495,0.00217948
-32.486,0.00217697
-32.475,0.00218244
-32.465,0.00218269
-32.455,0.00217703
-32.446,0.00217477
-32.435,0.00217173
-32.425,0.00217261
-32.414,0.00216886
-32.406,0.00217016
-32.395,0.00216617
-32.384,0.00217080
-32.376,0.00216869
-32.365,0.00216898
-32.355,0.00217093
-32.345,0.00217756
-32.335,0.00217665
-32.325,0.00217397
-32.315,0.00217121
-32.306,0.00217776
-32.295,0.00217757
-32.286,0.00217533
-32.275,0.00218208
-32.265,0.00218213
-32.255,0.00218036
-32.244,0.00217866
-32.236,0.00217619
-32.226,0.00217725
-32.216,0.00216480
-32.206,0.00215596
-32.196,0.00215806
-32.185,0.00216057
-32.176,0.00215362
-32.165,0.00215012
-32.155,0.00215532
-32.146,0.00214956
-32.134,0.00214708
-32.126,0.00214194
-32.114,0.00214137
-32.106,0.00214216
-32.095,0.00213980
-32.085,0.00213750
-32.074,0.00213914
-32.066,0.00213853
-32.056,0.00214041
-32.045,0.00213514
-32.035,0.00213683
-32.025,0.00213972
-32.016,0.00213884
-32.005,0.00213930
-31.995,0.00214059
-31.984,0.00213759
-31.976,0.00213818
-31.964,0.00214052
-31.956,0.00214647
-31.945,0.00214912
-31.935,0.00215280
-31.925,0.00215273
-31.915,0.00215659
-31.905,0.00215302
-31.895,0.00215735
-31.886,0.00215661
-31.876,0.00215631
-31.866,0.00215815
-31.855,0.00216450
-31.846,0.00216051
