# T[s],CAN_REC,CAN_TEC,ErrorFlag,Uptime[s]
-8.364,0,0,0,25117
-8.265,0,0,0,25117
-8.165,0,0,0,25118
-8.065,0,0,0,25118
-7.964,0,0,0,25118
-7.865,0,0,0,25118
-7.766,0,0,0,25118
-7.665,0,0,0,25118
-7.565,0,0,0,25118
-7.465,0,0,0,25118
-7.364,0,0,0,25118
-7.264,0,0,0,25118
-7.164,0,0,0,25119
-7.065,0,0,0,25119
-6.965,0,0,0,25119
-6.865,0,0,0,25119
-6.765,0,0,0,25119
-6.666,0,0,0,25119
-6.564,0,0,0,25119
-6.465,0,0,0,25119
-6.365,0,0,0,25119
-6.265,0,0,0,25119
-6.165,0,0,0,25120
-6.064,0,0,0,25120
-5.866,0,0,0,25120
-5.765,0,0,0,25120
-5.665,0,0,0,25120
-5.565,0,0,0,25120
-5.464,0,0,0,25120
-5.364,0,0,0,25120
-5.266,0,0,0,25120
-5.163,0,0,0,25121
-5.063,0,0,0,25121
-4.965,0,0,0,25121
-4.865,0,0,0,25121
-4.765,0,0,0,25121
-4.666,0,0,0,25121
-4.565,0,0,0,25121
-4.465,0,0,0,25121
-4.364,0,0,0,25121
-4.265,0,0,0,25121
-4.165,0,0,0,25122
-4.059,0,0,0,25122
-3.965,0,0,0,25122
-3.865,0,0,0,25122
-3.765,0,0,0,25122
-3.664,0,0,0,25122
-3.565,0,0,0,25122
-3.461,0,0,0,25122
-3.362,0,0,0,25122
-3.265,0,0,0,25122
-3.165,0,0,0,25123
-3.064,0,0,0,25123
-2.965,0,0,0,25123
-2.865,0,0,0,25123
-2.764,0,0,0,25123
-2.665,0,0,0,25123
-2.565,0,0,0,25123
-2.465,0,0,0,25123
-2.365,0,0,0,25123
-2.265,0,0,0,25123
-2.166,0,0,0,25124
-2.065,0,0,0,25124
-1.965,0,0,0,25124
-1.865,0,0,0,25124
-1.764,0,0,0,25124
-1.666,0,0,0,25124
-1.564,0,0,0,25124
-1.465,0,0,0,25124
-1.365,0,0,0,25124
-1.265,0,0,0,25124
-1.164,0,0,0,25125
-1.064,0,0,0,25125
-0.966,0,0,0,25125
-0.865,0,0,0,25125
-0.765,0,0,0,25125
-0.665,0,0,0,25125
-0.565,0,0,0,25125
-0.464,0,0,0,25125
-0.365,0,0,0,25125
-0.265,0,0,0,25125
-0.165,0,0,0,25126
-0.065,0,0,0,25126
0.035,0,0,0,25126
0.136,0,0,0,25126
0.236,0,0,0,25126
0.336,0,0,0,25126
0.435,0,0,0,25126
0.535,0,0,0,25126
0.635,0,0,0,25126
0.735,0,0,0,25126
0.835,0,0,0,25127
0.934,0,0,0,25127
1.035,0,0,0,25127
1.135,0,0,0,25127
1.235,0,0,0,25127
1.335,0,0,0,25127
1.436,0,0,0,25127
1.536,0,0,0,25127
1.635,0,0,0,25127
1.735,0,0,0,25127
1.835,0,0,0,25128
1.935,0,0,0,25128
2.035,0,0,0,25128
2.134,0,0,0,25128
2.235,0,0,0,25128
2.337,0,0,0,25128
2.435,0,0,0,25128
2.535,0,0,0,25128
2.635,0,0,0,25128
2.736,0,0,0,25128
2.835,0,0,0,25129
2.935,0,0,0,25129
3.035,0,0,0,25129
3.135,0,0,0,25129
3.236,0,0,0,25129
3.334,0,0,0,25129
3.435,0,0,0,25129
3.535,0,0,0,25129
3.635,0,0,0,25129
3.735,0,0,0,25129
3.840,0,0,0,25130
3.936,0,0,0,25130
4.034,0,0,0,25130
4.135,0,0,0,25130
4.235,0,0,0,25130
4.335,0,0,0,25130
4.435,0,0,0,25130
4.535,0,0,0,25130
4.634,0,0,0,25130
4.735,0,0,0,25130
4.835,0,0,0,25131
4.935,0,0,0,25131
5.036,0,0,0,25131
5.136,0,0,0,25131
5.235,0,0,0,25131
5.335,0,0,0,25131
5.435,0,0,0,25131
5.535,0,0,0,25131
5.635,0,0,0,25131
5.736,0,0,0,25131
5.836,0,0,0,25132
5.935,0,0,0,25132
6.040,0,0,0,25132
6.135,0,0,0,25132
6.240,0,0,0,25132
6.336,0,0,0,25132
6.438,0,0,0,25132
6.534,0,0,0,25132
6.635,0,0,0,25132
6.739,0,0,0,25132
6.834,0,0,0,25133
6.935,0,0,0,25133
7.034,0,0,0,25133
7.135,0,0,0,25133
7.235,0,0,0,25133
7.335,0,0,0,25133
7.435,0,0,0,25133
7.535,0,0,0,25133
7.635,0,0,0,25133
7.736,0,0,0,25133
7.835,0,0,0,25134
7.935,0,0,0,25134
8.036,0,0,0,25134
8.135,0,0,0,25134
8.241,0,0,0,25134
8.336,0,0,0,25134
8.436,0,0,0,25134
8.535,0,0,0,25134
8.635,0,0,0,25134
8.735,0,0,0,25134
8.835,0,0,0,25135
8.935,0,0,0,25135
9.036,0,0,0,25135
9.135,0,0,0,25135
9.235,0,0,0,25135
9.335,0,0,0,25135
9.435,0,0,0,25135
9.536,0,0,0,25135
9.635,0,0,0,25135
9.735,0,0,0,25135
9.836,0,0,0,25136
9.935,0,0,0,25136
10.036,0,0,0,25136
10.134,0,0,0,25136
10.236,0,0,0,25136
10.335,0,0,0,25136
10.435,0,0,0,25136
10.535,0,0,0,25136
10.635,0,0,0,25136
10.736,0,0,0,25136
10.834,0,0,0,25137
10.935,0,0,0,25137
11.035,0,0,0,25137
11.136,0,0,0,25137
11.236,0,0,0,25137
11.339,0,0,0,25137
11.435,0,0,0,25137
11.535,0,0,0,25137
11.635,0,0,0,25137
11.735,0,0,0,25137
11.835,0,0,0,25138
11.936,0,0,0,25138
12.038,0,0,0,25138
12.135,0,0,0,25138
12.235,0,0,0,25138
12.336,0,0,0,25138
12.436,0,0,0,25138
12.536,0,0,0,25138
12.634,0,0,0,25138
12.735,0,0,0,25138
12.835,0,0,0,25139
12.935,0,0,0,25139
13.036,0,0,0,25139
13.135,0,0,0,25139
13.236,0,0,0,25139
13.335,0,0,0,25139
13.435,0,0,0,25139
13.535,0,0,0,25139
13.636,0,0,0,25139
13.735,0,0,0,25139
13.836,0,0,0,25140
13.934,0,0,0,25140
14.035,0,0,0,25140
14.140,0,0,0,25140
14.235,0,0,0,25140
14.335,0,0,0,25140
14.436,0,0,0,25140
14.534,0,0,0,25140
14.635,0,0,0,25140
14.735,0,0,0,25140
14.835,0,0,0,25141
14.935,0,0,0,25141
15.036,0,0,0,25141
15.136,0,0,0,25141
15.238,0,0,0,25141
15.335,0,0,0,25141
15.436,0,0,0,25141
15.535,0,0,0,25141
15.636,0,0,0,25141
15.736,0,0,0,25141
15.835,0,0,0,25142
15.935,0,0,0,25142
16.035,0,0,0,25142
16.135,0,0,0,25142
16.237,0,0,0,25142
16.335,0,0,0,25142
16.434,0,0,0,25142
16.535,0,0,0,25142
16.640,0,0,0,25142
16.735,0,0,0,25142
16.836,0,0,0,25143
16.941,0,0,0,25143
17.039,0,0,0,25143
17.135,0,0,0,25143
17.235,0,0,0,25143
17.336,0,0,0,25143
17.435,0,0,0,25143
17.537,0,0,0,25143
17.638,0,0,0,25143
17.735,0,0,0,25143
17.835,0,0,0,25144
17.935,0,0,0,25144
18.036,0,0,0,25144
18.136,0,0,0,25144
18.235,0,0,0,25144
18.335,0,0,0,25144
18.435,0,0,0,25144
18.535,0,0,0,25144
18.635,0,0,0,25144
18.736,0,0,0,25144
18.836,0,0,0,25145
18.935,0,0,0,25145
19.035,0,0,0,25145
19.135,0,0,0,25145
19.235,0,0,0,25145
19.336,0,0,0,25145
19.434,0,0,0,25145
19.539,0,0,0,25145
19.641,0,0,0,25145
19.735,0,0,0,25145
19.836,0,0,0,25146
19.935,0,0,0,25146
20.035,0,0,0,25146
20.134,0,0,0,25146
20.240,0,0,0,25146
20.335,0,0,0,25146
20.435,0,0,0,25146
20.536,0,0,0,25146
20.639,0,0,0,25146
20.740,0,0,0,25146
20.835,0,0,0,25147
20.935,0,0,0,25147
21.035,0,0,0,25147
21.135,0,0,0,25147
21.236,0,0,0,25147
21.334,0,0,0,25147
21.436,0,0,0,25147
21.535,0,0,0,25147
21.635,0,0,0,25147
21.736,0,0,0,25147
21.836,0,0,0,25148
21.936,0,0,0,25148
22.035,0,0,0,25148
22.137,0,0,0,25148
22.235,0,0,0,25148
22.336,0,0,0,25148
22.436,0,0,0,25148
22.538,0,0,0,25148
22.635,0,0,0,25148
22.735,0,0,0,25148
22.835,0,0,0,25149
22.938,0,0,0,25149
23.035,0,0,0,25149
23.136,0,0,0,25149
23.235,0,0,0,25149
23.335,0,0,0,25149
23.435,0,0,0,25149
23.535,0,0,0,25149
23.635,0,0,0,25149
23.734,0,0,0,25149
23.834,0,0,0,25150
23.935,0,0,0,25150
24.035,0,0,0,25150
24.137,0,0,0,25150
24.236,0,0,0,25150
24.336,0,0,0,25150
24.436,0,0,0,25150
24.535,0,0,0,25150
24.635,0,0,0,25150
24.735,0,0,0,25150
24.835,0,0,0,25151
24.936,0,0,0,25151
25.034,0,0,0,25151
25.135,0,0,0,25151
25.235,0,0,0,25151
25.335,0,0,0,25151
25.435,0,0,0,25151
25.535,0,0,0,25151
25.636,0,0,0,25151
25.734,0,0,0,25151
25.835,0,0,0,25152
25.935,0,0,0,25152
26.036,0,0,0,25152
26.136,0,0,0,25152
26.236,0,0,0,25152
26.335,0,0,0,25152
26.435,0,0,0,25152
26.535,0,0,0,25152
26.635,0,0,0,25152
26.735,0,0,0,25152
26.834,0,0,0,25153
26.935,0,0,0,25153
27.035,0,0,0,25153
27.135,0,0,0,25153
27.235,0,0,0,25153
27.336,0,0,0,25153
27.436,0,0,0,25153
27.535,0,0,0,25153
27.635,0,0,0,25153
27.735,0,0,0,25153
27.835,0,0,0,25154
27.936,0,0,0,25154
28.036,0,0,0,25154
28.134,0,0,0,25154
28.235,0,0,0,25154
28.335,0,0,0,25154
28.441,0,0,0,25154
28.535,0,0,0,25154
28.635,0,0,0,25154
28.736,0,0,0,25154
28.834,0,0,0,25155
28.935,0,0,0,25155
29.035,0,0,0,25155
29.135,0,0,0,25155
29.236,0,0,0,25155
29.334,0,0,0,25155
29.435,0,0,0,25155
29.535,0,0,0,25155
29.635,0,0,0,25155
29.736,0,0,0,25155
29.836,0,0,0,25156
29.934,0,0,0,25156
30.036,0,0,0,25156
30.135,0,0,0,25156
30.235,0,0,0,25156
30.336,0,0,0,25156
30.437,0,0,0,25156
30.536,0,0,0,25156
30.635,0,0,0,25156
30.735,0,0,0,25156
30.835,0,0,0,25157
30.936,0,0,0,25157
31.035,0,0,0,25157
31.235,0,0,0,25157
31.335,0,0,0,25157
31.435,0,0,0,25157
31.535,0,0,0,25157
31.635,0,0,0,25157
31.736,0,0,0,25157
31.834,0,0,0,25158
31.936,0,0,0,25158
32.237,0,0,0,25158
32.336,0,0,0,25158
32.436,0,0,0,25158
32.536,0,0,0,25158
32.835,0,0,0,25159
33.036,0,0,0,25159
33.136,0,0,0,25159
33.236,0,0,0,25159
33.336,0,0,0,25159
33.436,0,0,0,25159
33.535,0,0,0,25159
33.636,0,0,0,25159
33.735,0,0,0,25159
33.835,0,0,0,25160
33.935,0,0,0,25160
34.136,0,0,0,25160
34.234,0,0,0,25160
34.336,0,0,0,25160
34.435,0,0,0,25160
34.535,0,0,0,25160
38.135,0,0,0,25164
38.235,0,0,0,25164
38.336,0,0,0,25164
38.435,0,0,0,25164
38.536,0,0,0,25164
38.935,0,0,0,25165
39.037,0,0,0,25165
39.134,0,0,0,25165
40.534,0,0,0,25166
40.935,0,0,0,25167
41.034,0,0,0,25167
41.136,0,0,0,25167
41.236,0,0,0,25167
41.335,0,0,0,25167
41.736,0,0,0,25167
45.035,0,0,0,25171
