# T[s],wx[dps],wy[dps],wz[dps]
0.337,0.044,-0.021,0.008
0.436,0.008,0.024,0.008
0.536,0.013,-0.008,-0.024
0.636,-0.008,-0.028,0.019
0.737,0.008,0.027,-0.011
0.836,0.671,0.980,-0.229
0.936,-0.383,-0.164,0.487
1.035,1.151,0.411,0.896
1.137,0.589,-0.082,2.230
1.236,-0.100,0.318,2.862
1.336,-0.224,-0.457,4.010
1.436,0.050,-0.149,4.748
1.536,0.691,-0.310,3.369
1.635,0.837,-0.115,1.681
1.735,1.182,-0.345,0.407
1.837,1.293,-0.080,-0.865
1.936,1.598,-0.148,-1.377
2.036,1.536,-0.264,-3.164
2.135,1.713,0.218,-3.802
2.237,1.367,-0.461,-3.043
2.337,1.397,0.196,-2.412
2.437,0.947,-0.089,-1.928
2.537,0.506,0.019,-0.789
2.636,0.325,-0.124,0.275
2.736,0.181,-0.026,0.312
2.835,0.080,-0.047,0.290
2.935,0.090,-0.097,0.537
3.036,-0.045,-0.026,0.631
3.136,0.013,0.142,0.438
3.236,-0.255,0.066,-0.107
3.335,-0.125,0.060,-0.050
3.437,-0.259,0.245,-0.086
3.535,-0.209,0.195,-0.141
3.635,-0.285,0.215,-0.080
3.736,-0.431,0.286,-0.225
3.840,-0.377,0.228,0.023
3.936,-0.557,0.051,0.539
4.037,-0.514,0.250,0.484
4.135,-0.422,0.124,0.432
4.237,-0.466,-0.045,0.078
4.336,-0.565,-0.068,-0.602
4.436,-0.586,-0.067,-0.686
4.536,-0.562,-0.039,-0.736
4.636,-0.584,-0.011,-0.704
4.737,-0.556,-0.053,-0.369
4.835,-0.510,-0.069,-0.439
4.936,-0.502,0.008,-0.544
5.037,-0.473,-0.064,-0.657
5.136,-0.505,-0.145,-0.627
5.237,-0.455,-0.164,-0.720
5.337,-0.522,-0.143,-0.748
5.435,-0.392,-0.115,-0.556
5.535,-0.357,0.053,-0.729
5.636,-0.244,0.036,-0.975
5.736,-0.310,0.073,-1.063
5.836,-0.235,0.262,-1.176
5.937,-0.247,0.113,-0.772
6.040,-0.059,0.214,-0.856
6.136,0.008,0.307,-1.083
6.241,-0.097,0.225,-1.165
6.336,-0.083,0.336,-1.113
6.440,0.008,0.317,-0.632
6.535,-0.109,0.386,-0.771
6.635,-0.063,0.285,-0.916
6.739,-0.019,0.446,-0.975
6.837,-0.070,0.262,-0.107
6.936,0.063,0.252,0.332
7.037,-0.092,0.321,0.084
7.136,-0.020,0.339,-0.271
7.235,-0.071,0.263,-0.206
7.335,-0.023,0.391,-0.008
7.436,-0.008,0.299,-0.423
7.537,-0.033,0.452,-0.690
7.636,0.110,0.262,-0.805
7.736,0.027,0.421,-0.388
7.837,0.136,0.385,-0.250
7.937,0.167,0.346,-0.575
8.036,0.119,0.499,-0.788
8.136,0.195,0.260,-0.679
8.241,0.130,0.421,-0.779
8.336,0.094,0.362,-0.443
8.436,0.190,0.311,-0.437
8.535,0.030,0.422,-0.576
8.635,0.176,0.319,-0.431
8.737,0.116,0.382,-0.210
8.836,0.243,0.347,-0.369
8.936,0.153,0.271,-0.367
9.037,0.098,0.314,-0.337
9.137,0.094,0.223,-0.118
9.235,0.132,0.165,-0.150
9.336,0.189,0.341,-0.066
9.436,0.157,0.133,0.449
9.536,0.085,0.243,0.742
9.635,0.173,0.109,1.209
9.736,0.086,0.169,0.718
9.836,0.119,0.207,0.089
9.936,0.027,0.171,-0.411
10.036,0.077,0.185,-0.511
10.137,0.060,0.218,-0.216
10.236,0.102,0.236,0.635
10.337,0.157,0.270,1.084
10.435,0.040,0.108,0.911
10.537,0.156,0.183,0.265
10.637,0.103,0.306,-0.391
10.736,0.095,0.186,-0.329
10.837,0.191,0.278,-0.302
10.935,0.033,0.248,-0.199
11.036,0.071,0.265,-0.038
11.140,0.160,0.392,0.399
11.236,0.048,0.224,0.488
11.340,0.088,0.302,0.164
11.436,0.170,0.366,-0.131
11.535,0.029,0.232,0.616
11.636,0.199,0.315,0.633
11.735,-0.008,0.166,0.371
