# T[s],T4[C],T5[C]
-2.132,2.5,4.0
-2.034,2.3,3.8
-1.934,2.3,3.6
-1.833,2.1,3.6
-1.733,2.1,3.6
-1.632,1.9,3.5
-1.534,1.9,3.5
-1.434,1.6,3.3
-1.330,1.5,3.3
-1.233,7.7,27.3
-1.133,14.0,42.3
-1.033,39.1,59.8
-0.932,63.6,79.5
-0.833,82.2,124.6
-0.732,89.0,146.3
-0.633,97.8,176.7
-0.533,102.2,186.3
-0.432,103.5,207.3
-0.332,105.4,211.5
-0.233,107.5,215.6
-0.133,108.6,223.6
-0.033,109.4,228.0
0.067,110.5,232.0
0.167,113.9,241.6
0.267,116.2,251.8
0.366,121.5,264.1
0.468,126.8,267.8
0.567,131.5,271.3
0.667,133.2,278.4
0.767,136.8,281.8
0.868,140.0,289.3
0.971,145.6,296.0
1.066,168.8,318.6
1.167,216.4,408.9
1.270,353.4,442.8
1.367,396.3,488.4
1.467,464.6,502.9
1.575,488.2,512.6
1.666,504.0,523.7
1.766,514.5,525.8
1.867,506.5,528.2
1.967,499.3,533.9
2.067,488.6,542.0
2.166,494.0,553.4
2.267,516.6,579.1
2.368,533.3,592.1
2.468,566.0,630.1
2.569,561.6,650.5
2.668,553.7,658.1
2.767,542.8,665.5
2.866,508.6,673.2
2.966,470.7,689.2
3.067,442.5,697.8
3.167,371.7,705.3
3.267,319.0,721.5
3.367,297.8,723.0
3.467,257.5,722.3
3.566,221.9,722.3
3.667,207.0,738.8
3.767,183.1,744.0
3.867,165.3,748.5
3.972,146.0,754.3
4.068,141.0,756.8
4.166,133.1,764.4
4.267,130.0,782.9
4.369,124.5,780.8
4.467,122.1,769.0
4.567,117.9,734.9
4.666,114.7,716.3
4.766,113.5,679.5
4.867,111.6,626.3
4.969,110.5,609.9
5.067,110.0,594.4
5.167,109.0,580.2
5.267,108.2,553.9
5.367,107.8,529.8
5.467,106.5,496.5
5.567,106.1,485.9
5.667,106.0,475.8
5.767,105.4,456.6
5.867,105.2,447.4
5.967,104.6,438.6
6.067,104.5,422.3
6.167,104.1,405.6
6.267,103.7,345.1
6.367,103.3,315.1
6.467,103.1,287.1
6.566,102.8,242.3
6.666,102.4,224.8
6.767,102.2,196.7
6.867,101.6,185.6
6.967,101.3,166.4
7.068,100.5,142.8
7.167,100.3,136.5
7.268,100.0,125.6
7.367,99.8,121.3
7.467,99.6,116.8
7.567,99.2,107.8
7.668,98.8,103.3
7.766,98.8,96.1
7.866,98.6,88.1
7.967,98.3,83.4
8.067,98.0,81.5
8.169,97.9,80.0
8.269,97.7,78.3
8.367,97.5,75.3
8.467,97.3,72.7
8.568,97.1,71.3
8.667,96.9,67.1
8.769,96.7,64.5
8.867,96.7,63.4
8.967,96.5,62.4
9.067,96.3,60.9
9.167,96.1,59.8
9.267,96.0,58.3
9.367,95.8,57.7
9.467,95.8,56.3
9.568,95.6,55.6
9.668,95.4,55.5
9.768,95.4,55.0
9.867,95.2,54.5
9.969,95.2,54.5
10.067,95.2,54.1
10.167,95.2,54.1
10.274,95.2,54.3
10.368,95.2,54.5
10.467,95.2,54.5
10.567,95.2,54.8
10.667,95.4,55.2
10.768,95.4,55.4
10.868,95.2,56.0
10.969,95.2,56.7
11.067,95.2,57.1
11.171,95.2,57.9
11.267,95.2,58.5
11.369,95.2,58.5
11.467,95.4,58.6
11.566,95.4,58.8
11.668,95.6,58.8
11.767,95.8,59.0
11.867,95.8,59.2
11.967,95.8,59.8
12.067,95.8,60.0
12.170,95.8,60.2
12.268,95.8,60.6
12.367,96.0,60.5
12.467,96.0,60.7
12.567,96.0,60.9
12.668,96.0,60.9
12.768,96.0,61.5
12.868,96.0,61.5
12.967,96.0,61.5
13.067,96.0,61.5
13.167,95.9,61.5
13.269,95.8,61.3
13.368,95.8,61.3
13.466,95.8,61.1
13.568,95.6,61.1
13.667,95.6,60.9
13.768,95.6,61.1
13.867,95.6,61.3
13.967,95.5,61.3
14.066,95.5,61.6
14.167,95.8,61.8
14.267,95.8,62.4
14.367,95.8,62.4
14.468,96.0,62.9
14.567,96.0,62.9
14.667,95.9,62.8
14.768,96.1,63.0
14.869,96.1,63.3
14.967,96.1,63.5
15.068,96.1,63.7
