# T[s],gimbal_a_enable,gimbal_a_target[enc],gimbal_b_enable,gimbal_b_target[enc],gasjet
-34.723,0,0,0,0,0
-34.713,0,0,0,0,0
-34.703,0,0,0,0,0
-34.692,0,0,0,0,0
-34.684,0,0,0,0,0
-34.674,0,0,0,0,0
-34.663,0,0,0,0,0
-34.654,0,0,0,0,0
-34.644,0,0,0,0,0
-34.633,0,0,0,0,0
-34.623,0,0,0,0,0
-34.613,0,0,0,0,0
-34.603,0,0,0,0,0
-34.592,0,0,0,0,0
-34.583,0,0,0,0,0
-34.573,0,0,0,0,0
-34.563,0,0,0,0,0
-34.553,0,0,0,0,0
-34.543,0,0,0,0,0
-34.533,0,0,0,0,0
-34.523,0,0,0,0,0
-34.513,0,0,0,0,0
-34.498,0,0,0,0,0
-34.487,0,0,0,0,0
-34.482,0,0,0,0,0
-34.474,0,0,0,0,0
-34.463,0,0,0,0,0
-34.453,0,0,0,0,0
-34.443,0,0,0,0,0
-34.434,0,0,0,0,0
-34.424,0,0,0,0,0
-34.414,0,0,0,0,0
-34.404,0,0,0,0,0
-34.394,0,0,0,0,0
-34.384,0,0,0,0,0
-34.374,0,0,0,0,0
-34.362,0,0,0,0,0
-34.353,0,0,0,0,0
-34.343,0,0,0,0,0
-34.333,0,0,0,0,0
-34.324,0,0,0,0,0
-34.313,0,0,0,0,0
-34.304,0,0,0,0,0
-34.293,0,0,0,0,0
-34.283,0,0,0,0,0
-34.273,0,0,0,0,0
-34.263,0,0,0,0,0
-34.254,0,0,0,0,0
-34.242,0,0,0,0,0
-34.234,0,0,0,0,0
-34.224,0,0,0,0,0
-34.214,0,0,0,0,0
-34.203,0,0,0,0,0
-34.193,0,0,0,0,0
-34.183,0,0,0,0,0
-34.174,0,0,0,0,0
-34.163,0,0,0,0,0
-34.154,0,0,0,0,0
-34.142,0,0,0,0,0
-34.134,0,0,0,0,0
-34.120,0,0,0,0,0
-34.108,0,0,0,0,0
-34.101,0,0,0,0,0
-34.093,0,0,0,0,0
-34.083,0,0,0,0,0
-34.073,0,0,0,0,0
-34.063,0,0,0,0,0
-34.054,0,0,0,0,0
-34.044,0,0,0,0,0
-34.034,0,0,0,0,0
-34.024,0,0,0,0,0
-34.013,0,0,0,0,0
-34.003,0,0,0,0,0
-33.994,0,0,0,0,0
-33.982,0,0,0,0,0
-33.974,0,0,0,0,0
-33.962,0,0,0,0,0
-33.954,0,0,0,0,0
-33.943,0,0,0,0,0
-33.933,0,0,0,0,0
-33.923,0,0,0,0,0
-33.913,0,0,0,0,0
-33.895,0,0,0,0,0
-33.888,0,0,0,0,0
-33.882,0,0,0,0,0
-33.873,0,0,0,0,0
-33.863,0,0,0,0,0
-33.853,0,0,0,0,0
-33.843,0,0,0,0,0
-33.833,0,0,0,0,0
-33.822,0,0,0,0,0
-33.814,0,0,0,0,0
-33.804,0,0,0,0,0
-33.793,0,0,0,0,0
-33.784,0,0,0,0,0
-33.771,0,0,0,0,0
-33.758,0,0,0,0,0
-33.753,0,0,0,0,0
-33.743,0,0,0,0,0
-33.733,0,0,0,0,0
-33.724,0,0,0,0,0
-33.714,0,0,0,0,0
-33.704,0,0,0,0,0
-33.694,0,0,0,0,0
-33.683,0,0,0,0,0
-33.673,0,0,0,0,0
-33.663,0,0,0,0,0
-33.653,0,0,0,0,0
-33.640,0,0,0,0,0
-33.628,0,0,0,0,0
-33.623,0,0,0,0,0
-33.614,0,0,0,0,0
-33.604,0,0,0,0,0
-33.593,0,0,0,0,0
-33.583,0,0,0,0,0
-33.573,0,0,0,0,0
-33.564,0,0,0,0,0
-33.553,0,0,0,0,0
-33.543,0,0,0,0,0
-33.534,0,0,0,0,0
-33.523,0,0,0,0,0
-33.513,0,0,0,0,0
-33.504,0,0,0,0,0
-33.493,0,0,0,0,0
-33.484,0,0,0,0,0
-33.473,0,0,0,0,0
-33.462,0,0,0,0,0
