# T[s],control
19.561,16385
19.719,16385
19.797,16385
19.876,16385
19.953,16385
20.031,16385
20.109,16385
20.187,16385
20.265,16385
20.422,16385
20.501,16385
20.578,16385
20.657,16385
20.740,16385
20.813,16385
20.891,16385
20.969,16385
21.126,16385
21.206,16385
21.283,16385
21.361,16385
21.439,16385
21.517,16385
21.596,16385
21.673,16385
21.832,16385
21.909,16385
21.988,16385
22.065,16385
22.143,16385
22.221,16385
22.298,16385
22.377,16385
22.538,16385
22.613,16385
22.690,16385
22.769,16385
22.846,16385
22.925,16385
23.004,16385
23.081,16385
23.395,16385
23.473,16385
23.550,16385
23.629,16385
23.708,16385
23.785,16385
24.098,16385
24.177,16385
24.254,16385
24.333,16385
24.412,16385
24.489,16385
24.804,16385
24.880,16385
24.959,16385
25.038,16385
25.115,16385
25.193,16385
25.350,16385
25.429,16385
25.506,16385
25.585,16385
25.663,16385
25.741,16385
25.818,16385
25.897,16385
26.056,16385
26.133,16385
26.211,16385
26.289,16385
26.368,16385
26.445,16385
26.523,16385
26.601,16385
26.758,16385
26.837,16385
26.916,16385
26.996,16385
27.071,16385
27.149,16385
27.228,16385
27.305,16385
27.462,16385
27.541,16385
27.619,16385
27.698,16385
27.776,16385
27.853,16385
27.932,16385
28.009,16385
28.167,16385
28.245,16385
28.323,16385
28.401,16385
28.479,16385
28.557,16385
28.635,16385
28.713,16385
28.871,16385
28.949,16385
29.028,16385
29.105,16385
29.184,16385
29.262,16385
29.339,16385
29.417,16385
29.578,16385
29.653,16385
29.731,16385
29.809,16385
29.888,16385
29.965,16385
30.043,16385
30.121,16385
30.280,16385
30.358,16385
30.437,16385
30.516,16385
30.592,16385
30.668,16385
30.748,16385
30.825,16385
30.983,16385
31.060,16385
31.140,16385
31.217,16385
31.298,16385
31.374,16385
31.451,16385
31.529,16385
31.688,16385
31.765,16385
31.843,16385
31.922,16385
32.000,16385
32.156,16385
32.233,16385
32.547,16385
32.626,16385
32.704,16385
32.860,16385
33.096,16385
33.173,16385
33.251,16385
33.330,16385
33.407,16385
33.485,16385
33.563,16385
33.641,16385
33.800,16385
33.878,16385
33.955,16385
34.112,16385
34.189,16385
34.268,16385
34.345,16385
34.505,16385
34.582,16385
38.102,16385
38.182,16385
38.258,16385
38.336,16385
38.413,16385
38.491,16385
38.806,16385
38.885,16385
38.962,16385
39.044,16385
39.118,16385
40.526,16385
40.918,16385
40.995,16385
41.077,16385
41.151,16385
41.230,16385
41.315,16385
41.385,16385
41.622,16385
41.700,16385
45.065,16385
