# T[s],ax[raw],ay[raw],az[raw]
31.516,413843,-11220,5567
31.717,415660,-9773,5525
31.916,415660,-9773,5525
32.115,416759,-7741,5518
32.316,417119,-5837,5986
32.516,418392,-5072,5826
32.716,419584,-3639,5124
33.317,421397,-1413,1083
33.517,422709,-1031,-1551
33.716,422915,-1252,-6076
33.916,422915,-1252,-6076
34.117,424892,-2500,-9355
34.317,425113,-4949,-11391
34.516,426282,-8568,-13765
38.317,438633,-3316,3142
38.517,438633,-3316,3142
38.917,441677,-7165,-4578
40.917,450057,-10043,-18215
41.116,450057,-10043,-19074
41.323,451649,-12378,-19074
41.718,453301,-17870,-14148
45.117,465490,-8297,-3690
