# T[s],ax[g],ay[g],az[g]
-11.463,0.000,0.006,1.003
-11.363,-0.000,0.006,1.003
-11.262,0.000,0.006,1.003
-11.164,0.000,0.006,1.003
-11.063,-0.000,0.006,1.003
-10.963,0.000,0.006,1.003
-10.863,0.000,0.006,1.003
-10.762,0.000,0.006,1.003
-10.663,0.000,0.006,1.003
-10.562,0.000,0.006,1.003
-10.462,0.000,0.006,1.003
-10.363,0.000,0.006,1.003
-10.263,0.000,0.006,1.003
-10.162,0.000,0.006,1.003
-10.063,0.000,0.006,1.003
-9.963,0.000,0.006,1.003
-9.863,0.000,0.006,1.003
-9.763,0.000,0.006,1.003
-9.663,0.000,0.006,1.003
-9.563,0.000,0.006,1.003
-9.464,0.000,0.006,1.003
-9.363,0.001,0.005,1.003
-9.264,-0.001,0.007,1.004
-9.164,0.001,0.005,1.003
-9.058,-0.000,0.006,1.003
-8.962,-0.000,0.007,1.003
-8.862,0.000,0.006,1.003
-8.763,-0.001,0.006,1.003
-8.663,0.001,0.006,1.003
-8.563,-0.000,0.005,1.003
-8.464,-0.000,0.006,1.003
-8.363,0.001,0.006,1.003
-8.264,-0.001,0.005,1.003
-8.164,0.001,0.007,1.003
-8.064,-0.000,0.006,1.003
-7.964,-0.000,0.006,1.003
-7.864,0.001,0.006,1.003
-7.764,-0.001,0.005,1.003
-7.663,0.000,0.006,1.003
-7.564,0.000,0.006,1.003
-7.463,-0.000,0.005,1.003
-7.364,0.000,0.006,1.003
-7.264,-0.001,0.006,1.003
-7.164,-0.000,0.005,1.003
-7.065,0.001,0.006,1.003
-6.964,0.000,0.006,1.003
-6.864,0.000,0.005,1.003
-6.764,0.000,0.006,1.003
-6.664,0.000,0.006,1.002
-6.563,-0.000,0.005,1.003
-6.463,0.000,0.006,1.003
-6.364,0.000,0.007,1.003
-6.264,-0.000,0.005,1.003
-6.164,0.001,0.006,1.003
-6.064,-0.000,0.006,1.003
-5.865,0.001,0.007,1.003
-5.765,-0.001,0.006,1.003
-5.664,0.001,0.005,1.003
-5.564,0.001,0.006,1.003
-5.464,-0.001,0.006,1.001
-5.364,0.002,0.005,1.002
-5.263,0.000,0.008,1.000
-5.163,-0.001,0.005,0.998
-5.063,0.001,0.007,1.009
-4.963,0.001,0.006,1.003
-4.864,-0.001,0.005,1.003
-4.764,0.000,0.006,1.005
-4.663,-0.002,0.005,1.001
-4.565,0.002,0.003,1.004
-4.463,-0.002,0.009,1.003
-4.364,0.001,0.005,1.006
-4.264,-0.001,0.006,0.997
-4.164,0.001,0.007,0.999
-4.059,-0.001,0.006,1.001
-3.965,-0.001,0.008,1.004
-3.863,-0.000,0.005,1.004
-3.763,0.000,0.003,1.007
-3.664,0.000,0.008,1.010
-3.564,-0.001,0.007,1.004
-3.461,-0.002,0.003,1.006
-3.360,-0.001,0.009,0.999
-3.263,-0.001,0.006,1.001
-3.163,0.001,0.005,1.005
-3.064,-0.002,0.007,1.004
-2.963,-0.001,0.007,0.998
-2.864,0.000,0.008,1.002
-2.764,-0.001,0.006,1.004
-2.664,0.000,0.004,1.004
-2.563,0.001,0.004,0.999
-2.464,0.001,0.009,1.004
